onset	duration	Experiment - R1BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,631	2	22MN_415012	1	Es st_rt keinen gro¤en Geist	99	1631	keine	0	274	28	5	9	9	9	9	9	9	9	9	miss
4,664	2	22MN_415012	2	Sie hat etwas vor	99	4664	keine	0	271	17	4	9	9	9	9	9	9	9	9	miss
7,698	2	22MN_415012	3	Er steht im Zenit seines Lebens	33	7698	keine	0	71	31	6	1,666666667	1,666666667	3,625	3	2,727272727	3,675413869	4,875	5,5	miss
12,732	2	22MN_415012	4	### ### ##### #########	77	12732	keine	0	227	23	4	9	9	9	9	9	9	9	9	miss
18,772	2	22MN_415012	5	Sie geht an die Decke	11	18772	keine	0	23	21	5	-1,777777778	1,777777778	5,25	5,8	2,9	3,877562694	3,375	7	miss
24,806	2	22MN_415012	6	Das war eine schwierige Entscheidung	44	24806	keine	0	120	36	5	-0,363636364	0,363636364	5	5,909090909	2,166666667	999	999	999	miss
29,841	2	22MN_415012	7	Sie holt fÙr ihn die Sterne vom Himmel	33	29841	keine	0	84	38	8	2,125	2,125	4,375	5,7	2,454545455	3,838892776	5,25	7	miss
32,88	2	22MN_415012	8	BemÙht sie sich fÙr ihn?	88	32880	Ja	1904	901	24	5	9	9	9	9	9	9	9	9	correct
37,92	2	22MN_415012	9	Sie setzen ihn auf freien Fu¤	22	37920	keine	0	49	29	6	0,222222222	0,222222222	3	5,1	2,222222222	3,505876556	3,777777778	7	miss
40,954	2	22MN_415012	10	## #### ##### ##########	77	40954	keine	0	221	24	4	9	9	9	9	9	9	9	9	miss
43,988	2	22MN_415012	11	Er hat bei ihm verspielt	11	43988	keine	0	25	24	5	-1,777777778	1,777777778	4,375	4,818181818	2,363636364	3,915117004	4	7	miss
48,021	2	22MN_415012	12	#### ## ### ##### ######	77	48021	keine	0	232	24	5	9	9	9	9	9	9	9	9	miss
51,05	2	22MN_415012	13	Er ist Ùberheblich	44	51050	keine	0	102	18	3	-2	2	4,909090909	4,818181818	2,5	999	999	999	miss
58,084	2	22MN_415012	14	Sie sieht alles schwarz	11	58084	keine	0	2	23	4	-2,222222222	2,222222222	3,875	5,454545455	3,727272727	4,079161024	4,888888889	6,7	miss
63,113	2	22MN_415012	15	## ### ##### ############	77	63113	keine	0	194	25	4	9	9	9	9	9	9	9	9	miss
67,153	2	22MN_415012	16	Es passt wie die Faust aufs Auge	33	67153	keine	0	68	32	7	1,666666667	1,666666667	3	5,9	2,9	3,753424585	4	7	miss
73,181	2	22MN_415012	17	Sie schl_ft gut	66	73181	keine	0	168	15	3	1,833333333	1,833333333	4,454545455	5,272727273	4,916666667	999	999	999	miss
76,215	2	22MN_415012	18	Er fÙhlt sich nicht wohl	44	76215	keine	0	107	24	5	-1,833333333	1,833333333	4,727272727	5,181818182	2,75	999	999	999	miss
79,249	2	22MN_415012	19	Sie redet nicht um den hei¤en Brei	22	79249	keine	0	33	34	7	-0,222222222	0,222222222	3,285714286	5,272727273	3,777777778	3,812515985	2,875	6,5	miss
84,283	2	22MN_415012	20	Sie haben einen Bericht geschrieben	55	84283	keine	0	132	35	5	0,083333333	0,083333333	2,909090909	5,090909091	4,583333333	999	999	999	miss
91,323	2	22MN_415012	21	Haben Sie einen Film gedreht?	88	91323	Nein	1626	902	29	5	9	9	9	9	9	9	9	9	correct
96,358	2	22MN_415012	22	### ##### ### ####### ####	77	96358	keine	0	226	26	5	9	9	9	9	9	9	9	9	miss
100,392	2	22MN_415012	23	Er schweigt wie ein Grab	22	100392	keine	0	47	24	5	0,111111111	0,111111111	3,75	5,454545455	4	4,004517337	5,888888889	6,5	miss
103,421	2	22MN_415012	24	Sie verwirklicht nun ihren Wunsch	66	103421	keine	0	178	33	5	2,166666667	2,166666667	5,363636364	4	2,333333333	999	999	999	miss
106,453	2	22MN_415012	25	### ### ##### #############	77	106453	keine	0	238	27	4	9	9	9	9	9	9	9	9	miss
110,488	2	22MN_415012	26	Er wird den ganzen Tag in der Schule ge_rgert	44	110488	keine	0	92	45	9	-2,583333333	2,583333333	4,818181818	3,727272727	3,916666667	999	999	999	miss
114,516	2	22MN_415012	27	Alles l_uft wie immer	55	114516	keine	0	138	21	4	0,166666667	0,166666667	3,4	5	1,75	999	999	999	miss
122,544	2	22MN_415012	28	### ### ##### ### #### #####	77	122544	keine	0	203	28	6	9	9	9	9	9	9	9	9	miss
125,585	2	22MN_415012	29	Sie ist im siebten Himmel	33	125585	keine	0	89	25	5	2,666666667	2,666666667	5,25	5,818181818	2	4,014157968	3,666666667	7	miss
129,619	2	22MN_415012	30	### ### #########	77	129619	keine	0	240	17	3	9	9	9	9	9	9	9	9	miss
132,647	2	22MN_415012	31	#### #### ##### ##########	77	132647	keine	0	255	26	4	9	9	9	9	9	9	9	9	miss
138,682	2	22MN_415012	32	Er grinst wie ein Honigkuchenpferd	33	138682	keine	0	73	34	5	1,666666667	1,666666667	3,875	4,545454546	4,545454546	4,048617879	3	7	miss
142,716	2	22MN_415012	33	Ihm ist Ùbel geworden	44	142716	keine	0	104	21	4	-1,916666667	1,916666667	4,727272727	4,636363636	4,75	999	999	999	miss
146,745	2	22MN_415012	34	Sie ist stur wie ein Bock	11	146745	keine	0	22	25	6	-1,777777778	1,777777778	3,375	5,1	2,4	3,724225263	5,375	7	miss
152,773	2	22MN_415012	35	Sie eroberte sein Herz	33	152773	keine	0	80	22	4	2	2	5,125	5,545454546	2,4	3,894545162	5,777777778	6,4	miss
160,808	2	22MN_415012	36	##### ##### ## ####### #### ########## ### ########	77	160808	keine	0	230	51	8	9	9	9	9	9	9	9	9	miss
163,848	2	22MN_415012	37	Hast du soeben einen Satz gelesen?	88	163848	Nein	2298	903	34	6	9	9	9	9	9	9	9	9	correct
168,888	2	22MN_415012	38	### ##### ##### ## ### ###### ####	77	168888	keine	0	209	34	7	9	9	9	9	9	9	9	9	miss
171,921	2	22MN_415012	39	Er ist ein anstrengender Mensch	44	171921	keine	0	111	31	5	-1,75	1,75	5	5,454545455	2,75	999	999	999	miss
177,955	2	22MN_415012	40	Sie schaut ihn liebevoll an	66	177955	keine	0	175	27	5	2	2	5,272727273	5,363636364	5,75	999	999	999	miss
181,99	2	22MN_415012	41	### ### ##### ######## ###########	77	181990	keine	0	244	34	5	9	9	9	9	9	9	9	9	miss
185,018	2	22MN_415012	42	Er hatte Schwierigkeiten damit	44	185018	keine	0	117	30	4	-1,166666667	1,166666667	4,727272727	5	1,916666667	999	999	999	miss
188,052	2	22MN_415012	43	Schaffte er es mit Leichtigkeit?	88	188052	Nein	3187	904	32	5	9	9	9	9	9	9	9	9	correct
194,092	2	22MN_415012	44	## ##### ### ##### ### #######	77	194092	keine	0	223	30	6	9	9	9	9	9	9	9	9	miss
200,12	2	22MN_415012	45	Er betrachtet es genau	55	200120	keine	0	135	22	4	0,166666667	0,166666667	3,3	4,909090909	5,636363636	999	999	999	miss
203,154	2	22MN_415012	46	Schaut er genau hin?	88	203154	Ja	1664	905	20	4	9	9	9	9	9	9	9	9	correct
209,194	2	22MN_415012	47	#### ## ### ##### #####	77	209194	keine	0	197	23	5	9	9	9	9	9	9	9	9	miss
213,223	2	22MN_415012	48	Es steht noch in den Sternen	22	213223	keine	0	52	28	6	0,25	0,25	2,375	4,818181818	2,090909091	3,644557397	3,5	6,571428571	miss
216,251	2	22MN_415012	49	Sie bricht ihm das Herz	11	216251	keine	0	7	23	5	-2,222222222	2,222222222	5,5	6,3	2,909090909	4,041178878	5	7	miss
224,286	2	22MN_415012	50	Sie lassen Gras Ùber die Sache wachsen	22	224286	keine	0	45	38	7	0	0	2,75	4,909090909	2,454545455	3,805733947	4,5	7	miss
228,326	2	22MN_415012	51	Er lebt wie Gott in Frankreich	33	228326	keine	0	66	30	6	1,555555556	1,555555556	3,875	4,2	2,333333333	3,564309236	3,25	7	miss
232,355	2	22MN_415012	52	Sie haben sowohl _hnliche wie auch unterschiedliche Ansichten	55	232355	keine	0	139	61	8	0,181818182	0,181818182	3,1	4	2,75	999	999	999	miss
240,382	2	22MN_415012	53	Sie s_uft wie ein Loch	11	240382	keine	0	24	22	5	-1,777777778	1,777777778	4	5	4	3,890047159	4,75	7	miss
243,422	2	22MN_415012	54	### #### ####### ##	77	243422	keine	0	241	19	4	9	9	9	9	9	9	9	9	miss
250,455	2	22MN_415012	55	## ### ##### ######	77	250455	keine	0	261	19	4	9	9	9	9	9	9	9	9	miss
253,486	2	22MN_415012	56	Sie gehen vor die Hunde	11	253486	keine	0	9	23	5	-2,111111111	2,111111111	2,125	4,636363636	3	3,811924834	2,875	5,5	miss
257,52	2	22MN_415012	57	Er hat es faustdick hinter den Ohren	22	257520	keine	0	40	36	7	-0,111111111	0,111111111	3,428571429	5,454545455	2	3,673057713	2,777777778	7	miss
