onset	duration	Experiment - R2BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,634	2	22MN_415012	1	Er bekam sein Fett weg	99	1634	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
4,668	2	22MN_415012	2	Er mag keine Suppe	99	4668	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
7,702	2	22MN_415012	3	Er fŸhlt sich entspannt und locker	66	7702	keine	0	162	34	6	1,583333333	1,583333333	4,090909091	4,818181818	3,416666667	999	999	999	miss
12,736	2	22MN_415012	4	Ist er innerlich angespannt?	88	12736	Nein	1971	917	28	4	9	9	9	9	9	9	9	9	correct
20,78	2	22MN_415012	5	Sie macht einen Vorschlag	55	20780	keine	0	122	25	4	-0,25	0,25	3,090909091	5,181818182	3,909090909	999	999	999	miss
26,816	2	22MN_415012	6	#### ##### #### #####	77	26816	keine	0	184	21	4	9	9	9	9	9	9	9	9	miss
31,851	2	22MN_415012	7	Sie reagierte enthusiastisch auf den Vorschlag	66	31851	keine	0	160	46	6	1,5	1,5	5,545454546	3,818181818	3,916666667	999	999	999	miss
34,889	2	22MN_415012	8	Sie ist fit wie ein Turnschuh	33	34889	keine	0	86	29	6	2,333333333	2,333333333	3,375	6,090909091	3,272727273	3,936479301	5,25	6,5	miss
37,923	2	22MN_415012	9	Ihr lŠuft die Galle Ÿber	11	37923	keine	0	13	24	5	-2	2	4,285714286	3,333333333	3,454545455	3,691197691	3,125	3,625	miss
40,957	2	22MN_415012	10	Er bringt sie zur Wei§glut	11	40957	keine	0	16	26	5	-1,888888889	1,888888889	5,75	5,8	2,666666667	3,780924393	3,571428571	7	miss
43,991	2	22MN_415012	11	#### ###### ###### #######	77	43991	keine	0	256	26	4	9	9	9	9	9	9	9	9	miss
48,026	2	22MN_415012	12	Sie bespricht die Angelegenheit mit ihren Kollegen	55	48026	keine	0	126	50	7	0	0	3,181818182	5,181818182	5,363636364	999	999	999	miss
51,054	2	22MN_415012	13	Sie stinkt vor Faulheit	11	51054	keine	0	4	23	4	-2,222222222	2,222222222	3,75	3,9	4,272727273	3,927592	4,666666667	5,5	miss
58,087	2	22MN_415012	14	Sie ist davon verwirrt	44	58087	keine	0	116	22	4	-1,166666667	1,166666667	4,363636364	5,545454546	2,666666667	999	999	999	miss
63,117	2	22MN_415012	15	Er gewinnt neues Selbstvertrauen	66	63117	keine	0	169	32	4	1,833333333	1,833333333	5,272727273	4,363636364	2,583333333	999	999	999	miss
