onset	duration	Experiment - R5DVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,626	2	24kk_41521	1	Sie hat etwas vor	99	1626	keine	0	271	17	4	9	9	9	9	9	9	9	9	miss
4,66	2	24kk_41521	2	Es stšrt keinen gro§en Geist	99	4660	keine	0	274	28	5	9	9	9	9	9	9	9	9	miss
7,694	2	24kk_41521	3	Stšrt es jemanden?	88	7694	keine	0	909	18	3	9	9	9	9	9	9	9	9	miss
13,734	2	24kk_41521	4	Sie eroberte sein Herz	33	13734	keine	0	80	22	4	2	2	5,125	5,545454546	2,4	3,894545162	5,777777778	6,4	miss
16,763	2	24kk_41521	5	### ####### #### ##### #### ############	77	16763	keine	0	245	40	6	9	9	9	9	9	9	9	9	miss
22,796	2	24kk_41521	6	Es ist eine Augenweide	33	22796	keine	0	76	22	4	1,777777778	1,777777778	3,857142857	5,6	2,625	3,563778739	3,222222222	7	miss
26,831	2	24kk_41521	7	Ist es schšn anzusehen?	88	26831	keine	0	910	23	4	9	9	9	9	9	9	9	9	miss
33,865	2	24kk_41521	8	Sie bekommt einen Auftrag	55	33865	keine	0	140	25	4	0,25	0,25	4	4,363636364	3,5	999	999	999	miss
36,905	2	24kk_41521	9	Ihm ist Ÿbel geworden	44	36905	keine	0	104	21	4	-1,916666667	1,916666667	4,727272727	4,636363636	4,75	999	999	999	miss
39,939	2	24kk_41521	10	Er kommt Ÿber die Runden	22	39939	keine	0	39	24	5	-0,111111111	0,111111111	2,25	5,7	1,333333333	3,314000988	3,375	7	miss
43,973	2	24kk_41521	11	Sie reagierte enthusiastisch auf den Vorschlag	66	43973	keine	0	160	46	6	1,5	1,5	5,545454546	3,818181818	3,916666667	999	999	999	miss
47,001	2	24kk_41521	12	### ##### ##### ## ### ###### ####	77	47001	keine	0	209	34	7	9	9	9	9	9	9	9	9	miss
54,035	2	24kk_41521	13	Sie ist schlechter Stimmung	44	54035	keine	0	113	27	4	-1,583333333	1,583333333	5	4,545454546	2,916666667	999	999	999	miss
58,064	2	24kk_41521	14	Ist sie fršhlich?	88	58064	keine	0	911	17	3	9	9	9	9	9	9	9	9	miss
65,099	2	24kk_41521	15	### ####### ###### ########### ##	77	65099	keine	0	269	33	5	9	9	9	9	9	9	9	9	miss
71,138	2	24kk_41521	16	Er ist eine falsche Schlange	11	71138	keine	0	6	28	5	-2,222222222	2,222222222	4,375	4,9	2	3,858075672	4	7	miss
75,173	2	24kk_41521	17	### ### #########	77	75173	keine	0	247	17	3	9	9	9	9	9	9	9	9	miss
78,202	2	24kk_41521	18	## ### ## ######### ###### ### #####	77	78202	keine	0	213	36	7	9	9	9	9	9	9	9	9	miss
81,234	2	24kk_41521	19	Sie ist unfŠhig	44	81234	keine	0	106	15	3	-1,833333333	1,833333333	5,272727273	4	2,25	999	999	999	miss
89,269	2	24kk_41521	20	## ### #### ###### ### ### ########## ##	77	89269	keine	0	250	40	7	9	9	9	9	9	9	9	9	miss
97,309	2	24kk_41521	21	#### ##### ##### ### ########	77	97309	keine	0	235	29	5	9	9	9	9	9	9	9	9	miss
100,35	2	24kk_41521	22	Es ist in aller Munde	22	100350	keine	0	55	21	5	0,333333333	0,333333333	3,25	5,4	2,888888889	3,696579703	4,75	7	miss
103,384	2	24kk_41521	23	Es hat nichts damit zu tun	55	103384	keine	0	131	26	6	0	0	2,7	5,4	1,666666667	999	999	999	miss
106,417	2	24kk_41521	24	### ### ##### #############	77	106417	keine	0	238	27	4	9	9	9	9	9	9	9	9	miss
110,451	2	24kk_41521	25	Er redete mit Engelszungen	33	110451	keine	0	61	26	4	1,125	1,125	3,625	3,6	4,090909091	3,771969697	4,625	4,75	miss
117,48	2	24kk_41521	26	#### ###### #########	77	117480	keine	0	233	21	3	9	9	9	9	9	9	9	9	miss
120,509	2	24kk_41521	27	Er kann das nicht mehr leiden	44	120509	keine	0	115	29	6	-1,25	1,25	4,6	4,454545455	2,416666667	999	999	999	miss
123,542	2	24kk_41521	28	Sie ist Ÿberarbeitet	44	123542	keine	0	110	20	3	-1,75	1,75	5,090909091	5,090909091	3	999	999	999	miss
126,576	2	24kk_41521	29	Es wurde heute aufgerŠumt	55	126576	keine	0	143	25	4	0,333333333	0,333333333	2,909090909	3,818181818	4,833333333	999	999	999	miss
129,61	2	24kk_41521	30	Er ist total zufrieden mit sich	66	129610	keine	0	179	31	6	2,583333333	2,583333333	5,545454546	4,818181818	2,833333333	999	999	999	miss
136,644	2	24kk_41521	31	Sie freut sich auf den Urlaub	66	136644	keine	0	173	29	6	1,916666667	1,916666667	5	5,636363636	2,916666667	999	999	999	miss
140,673	2	24kk_41521	32	Sie Ÿberlegt sich wie sie weitermachen kann	55	140673	keine	0	128	43	7	0	0	4,1	5,363636364	2,583333333	999	999	999	miss
145,702	2	24kk_41521	33	Sie kommt auf einen Sprung herein	22	145702	keine	0	53	33	6	0,25	0,25	2,375	4,9	3,545454546	3,789847865	3,25	6	miss
149,741	2	24kk_41521	34	Bleibt sie nur kurz?	88	149741	keine	0	912	20	4	9	9	9	9	9	9	9	9	miss
155,776	2	24kk_41521	35	### ####### #### ###	77	155776	keine	0	192	20	4	9	9	9	9	9	9	9	9	miss
158,804	2	24kk_41521	36	## ## ##########	77	158804	keine	0	239	16	3	9	9	9	9	9	9	9	9	miss
163,838	2	24kk_41521	37	Sie plant eine Zugfahrt	55	163838	keine	0	148	23	4	0,666666667	0,666666667	2,8	3,909090909	4,083333333	999	999	999	miss
166,878	2	24kk_41521	38	### #### ##### ##### #####	77	166878	keine	0	258	26	5	9	9	9	9	9	9	9	9	miss
170,911	2	24kk_41521	39	Sie macht sich Sorgen um ihre Zukunft	44	170911	keine	0	101	37	7	-2,083333333	2,083333333	5,454545455	5,363636364	2,75	999	999	999	miss
177,94	2	24kk_41521	40	Es wŠchst ihr ans Herz	33	177940	keine	0	72	22	5	1,666666667	1,666666667	4,125	5,909090909	2,909090909	3,992602731	3,777777778	7	miss
182,97	2	24kk_41521	41	Es war ein ganz normaler Tag	55	182970	keine	0	125	28	6	-0,083333333	0,083333333	2,9	5,4	1,75	999	999	999	miss
189,009	2	24kk_41521	42	## ### ####### #######	77	189009	keine	0	242	22	4	9	9	9	9	9	9	9	9	miss
195,044	2	24kk_41521	43	Sie wird dafŸr hart bestraft	44	195044	keine	0	94	28	5	-2,5	2,5	5,727272727	3,545454546	3,583333333	999	999	999	miss
202,077	2	24kk_41521	44	### #### ########	77	202077	keine	0	185	17	3	9	9	9	9	9	9	9	9	miss
205,107	2	24kk_41521	45	Sie lernte es mŸhelos	66	205107	keine	0	156	21	4	1,333333333	1,333333333	4,363636364	3,909090909	3,25	999	999	999	miss
210,141	2	24kk_41521	46	Sie verpasste ihm einen Denkzettel	11	210141	keine	0	29	34	5	-1,555555556	1,555555556	4,375	5,272727273	2,272727273	3,885302287	5	6	miss
214,181	2	24kk_41521	47	Sie hat Geld ohne Ende	33	214181	keine	0	64	22	5	1,444444444	1,444444444	3,5	4,6	2	3,769601367	5,875	7	miss
219,208	2	24kk_41521	48	Er ist ein alter Hase	22	219208	keine	0	60	21	5	0,444444444	0,444444444	2,142857143	5	2,272727273	3,661113748	2	6	miss
225,249	2	24kk_41521	49	Sie stinkt vor Faulheit	11	225249	keine	0	4	23	4	-2,222222222	2,222222222	3,75	3,9	4,272727273	3,927592	4,666666667	5,5	miss
228,284	2	24kk_41521	50	Die Beschreibung des Projektes ist jetzt verfŸgbar	55	228284	keine	0	136	50	7	0,166666667	0,166666667	2,4	3,909090909	4,166666667	999	999	999	miss
232,317	2	24kk_41521	51	Er bereitet sich darauf vor	55	232317	keine	0	144	27	5	0,416666667	0,416666667	2,9	5,545454546	2,833333333	999	999	999	miss
235,346	2	24kk_41521	52	### #### #### #########	77	235346	keine	0	181	23	4	9	9	9	9	9	9	9	9	miss
239,38	2	24kk_41521	53	Er hat bei ihm verspielt	11	239380	keine	0	25	24	5	-1,777777778	1,777777778	4,375	4,818181818	2,363636364	3,915117004	4	7	miss
243,408	2	24kk_41521	54	Sie fŸhlt sich gesund und aktiv	66	243408	keine	0	170	31	6	1,916666667	1,916666667	4,818181818	4,363636364	4,416666667	999	999	999	miss
246,436	2	24kk_41521	55	Das hat viele Vorteile	66	246436	keine	0	152	22	4	1,083333333	1,083333333	3,818181818	5,545454546	1,75	999	999	999	miss
251,47	2	24kk_41521	56	Sie gehen vor die Hunde	11	251470	keine	0	9	23	5	-2,111111111	2,111111111	2,125	4,636363636	3	3,811924834	2,875	5,5	miss
256,51	2	24kk_41521	57	### ####### #### ### ######	77	256510	keine	0	211	27	5	9	9	9	9	9	9	9	9	miss
264,55	2	24kk_41521	58	## ### ##### ############	77	264550	keine	0	194	25	4	9	9	9	9	9	9	9	9	miss
268,591	2	24kk_41521	59	Sie haben einen Bericht geschrieben	55	268591	keine	0	132	35	5	0,083333333	0,083333333	2,909090909	5,090909091	4,583333333	999	999	999	miss
271,619	2	24kk_41521	60	Sie macht ihr die Hšlle hei§	11	271619	keine	0	27	28	6	-1,666666667	1,666666667	5,125	5,272727273	3,909090909	4,086060651	5,111111111	7	miss
274,653	2	24kk_41521	61	## ### ### ### ### ### ####### ##	77	274653	keine	0	217	33	8	9	9	9	9	9	9	9	9	miss
277,687	2	24kk_41521	62	Sie machte ihn zur Sau	11	277687	keine	0	20	22	5	-1,888888889	1,888888889	5,125	5,5	3,181818182	4,02007152	3,25	7	miss
284,721	2	24kk_41521	63	Sie trŠgt das Herz auf der Zunge	22	284721	keine	0	56	32	7	0,333333333	0,333333333	4	3,727272727	3,363636364	3,820586099	4,333333333	6	miss
287,749	2	24kk_41521	64	### ### #########	77	287749	keine	0	240	17	3	9	9	9	9	9	9	9	9	miss
290,783	2	24kk_41521	65	#### #### ##### ##########	77	290783	keine	0	255	26	4	9	9	9	9	9	9	9	9	miss
296,817	2	24kk_41521	66	## ### ######### #####	77	296817	keine	0	204	22	4	9	9	9	9	9	9	9	9	miss
301,852	2	24kk_41521	67	Sie ist fit wie ein Turnschuh	33	301852	keine	0	86	29	6	2,333333333	2,333333333	3,375	6,090909091	3,272727273	3,936479301	5,25	6,5	miss
304,891	2	24kk_41521	68	Er lŠsst sein Herz sprechen	33	304891	keine	0	65	27	5	1,444444444	1,444444444	4,125	4	3,090909091	3,875012971	5,333333333	7	miss
307,925	2	24kk_41521	69	Er ist Ÿberheblich	44	307925	keine	0	102	18	3	-2	2	4,909090909	4,818181818	2,5	999	999	999	miss
312,959	2	24kk_41521	70	Sie bricht ihm das Herz	11	312959	keine	0	7	23	5	-2,222222222	2,222222222	5,5	6,3	2,909090909	4,041178878	5	7	miss
318,999	2	24kk_41521	71	## ### ####### ##### ######	77	318999	keine	0	265	27	5	9	9	9	9	9	9	9	9	miss
325,034	2	24kk_41521	72	## ### ##### ######## ##### #########	77	325034	keine	0	246	37	6	9	9	9	9	9	9	9	9	miss
