onset	duration	Experiment - R4DVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,62	2	24kk_41521	1	Sie ist sehr konzentriert	99	1620	keine	0	276	25	4	9	9	9	9	9	9	9	9	miss
4,653	2	24kk_41521	2	Es hat viel damit zu tun	99	4653	keine	0	273	24	6	9	9	9	9	9	9	9	9	miss
7,688	2	24kk_41521	3	Sie verbrachten ein entspanntes Wochenende	66	7688	keine	0	172	42	5	1,916666667	1,916666667	4,909090909	5,636363636	3,333333333	999	999	999	miss
10,721	2	24kk_41521	4	Er schŸttet ihr sein Herz aus	22	10721	keine	0	51	29	6	0,222222222	0,222222222	4,625	5,909090909	2,888888889	3,851628559	5,444444444	7	miss
13,755	2	24kk_41521	5	Sie wird herzlich begrŸ§t	66	13755	keine	0	171	25	4	1,916666667	1,916666667	5,454545455	5,545454546	4,916666667	999	999	999	miss
18,789	2	24kk_41521	6	Sie schaffen das ganz gut	66	18789	keine	0	151	25	5	1,083333333	1,083333333	4,363636364	5,454545455	2,333333333	999	999	999	miss
24,828	2	24kk_41521	7	### ### ########## ##########	77	24828	keine	0	257	29	4	9	9	9	9	9	9	9	9	miss
28,863	2	24kk_41521	8	### ### ##### ### #### #####	77	28863	keine	0	203	28	6	9	9	9	9	9	9	9	9	miss
32,891	2	24kk_41521	9	#### ###### ####### #####	77	32891	keine	0	191	25	4	9	9	9	9	9	9	9	9	miss
37,92	2	24kk_41521	10	Er genie§t die Gesellschaft	66	37920	keine	0	176	27	4	2	2	5	5,181818182	3,333333333	999	999	999	miss
41,96	2	24kk_41521	11	Er gewinnt neues Selbstvertrauen	66	41960	keine	0	169	32	4	1,833333333	1,833333333	5,272727273	4,363636364	2,583333333	999	999	999	miss
45,988	2	24kk_41521	12	Es passt wie die Faust aufs Auge	33	45988	keine	0	68	32	7	1,666666667	1,666666667	3	5,9	2,9	3,753424585	4	7	miss
49,016	2	24kk_41521	13	Passt es sehr gut zusammen?	88	49016	keine	0	901	27	5	9	9	9	9	9	9	9	9	miss
55,056	2	24kk_41521	14	### #### ##### ######## #### ###	77	55056	keine	0	186	32	6	9	9	9	9	9	9	9	9	miss
61,085	2	24kk_41521	15	Er freundet sich mit ihm an	66	61085	keine	0	165	27	6	1,666666667	1,666666667	4,272727273	4,909090909	3,583333333	999	999	999	miss
64,119	2	24kk_41521	16	## ##### ### #####	77	64119	keine	0	198	18	4	9	9	9	9	9	9	9	9	miss
67,153	2	24kk_41521	17	Sie hat einen Schnupfen	44	67153	keine	0	112	23	4	-1,75	1,75	3,545454546	4,545454546	5,333333333	999	999	999	miss
71,187	2	24kk_41521	18	LŠuft ihre Nase?	88	71187	keine	0	902	16	3	9	9	9	9	9	9	9	9	miss
78,22	2	24kk_41521	19	Er schreibt seine Gedanken auf	55	78220	keine	0	137	30	5	0,166666667	0,166666667	3,6	4,454545455	4,5	999	999	999	miss
85,26	2	24kk_41521	20	Er hat Schmetterlinge im Bauch	33	85260	keine	0	87	30	5	2,375	2,375	4,75	6	3,363636364	4,064976457	3,375	7	miss
91,29	2	24kk_41521	21	Er plaudert aus dem NŠhkŠstchen	22	91290	keine	0	35	31	5	-0,222222222	0,222222222	2,875	4,818181818	3,909090909	4,004474986	2,5	7	miss
94,325	2	24kk_41521	22	Er geht kaum noch aus dem Haus	44	94325	keine	0	118	30	7	-1	1	4,090909091	5,181818182	4,583333333	999	999	999	miss
98,358	2	24kk_41521	23	Sie redet nicht um den hei§en Brei	22	98358	keine	0	33	34	7	-0,222222222	0,222222222	3,285714286	5,272727273	3,777777778	3,812515985	2,875	6,5	miss
103,387	2	24kk_41521	24	Sie legt nicht jedes Wort auf die Goldwaage	22	103387	keine	0	41	43	8	-0,111111111	0,111111111	3,5	5,3	2,1	3,691932371	5,428571429	6,25	miss
108,427	2	24kk_41521	25	Er ist Feuer und Flamme	33	108427	keine	0	82	23	5	2,111111111	2,111111111	4,285714286	5,7	3,272727273	3,844404201	3,125	7	miss
111,466	2	24kk_41521	26	Er hat einen guten Draht zu ihm	33	111466	keine	0	79	31	7	2	2	3,5	6,272727273	2	3,794818339	5	7	miss
117,5	2	24kk_41521	27	Sie ist unsterblich verliebt	33	117500	keine	0	78	28	4	1,888888889	1,888888889	5	6,1	2,363636364	3,974284916	5,111111111	6,625	miss
124,535	2	24kk_41521	28	Er benimmt sich wie ein Elefant im Porzellanladen	11	124535	keine	0	28	49	8	-1,666666667	1,666666667	4,125	5,4	3,363636364	4,014075192	5,714285714	7	miss
129,564	2	24kk_41521	29	Er ist wŸtend auf sie	44	129564	keine	0	103	21	5	-2	2	5,727272727	5,272727273	3,583333333	999	999	999	miss
137,604	2	24kk_41521	30	Sie strukturiert ihre Arbeit	55	137604	keine	0	150	28	4	0,833333333	0,833333333	2,909090909	4,636363636	4	999	999	999	miss
141,644	2	24kk_41521	31	Er lŠsst kein gutes Haar daran	11	141644	keine	0	26	30	6	-1,75	1,75	3,625	5,222222222	2	3,634250914	3,888888889	7	miss
144,672	2	24kk_41521	32	Sie ist die Ehrlichkeit in Person	33	144672	keine	0	83	33	6	2,111111111	2,111111111	3,375	5	2,272727273	3,861333287	5,875	7	miss
148,706	2	24kk_41521	33	## ######## ##### #####	77	148706	keine	0	264	23	4	9	9	9	9	9	9	9	9	miss
151,735	2	24kk_41521	34	Er fŸhrt Bšses im Schilde	11	151735	keine	0	8	25	5	-2,111111111	2,111111111	4	5,545454546	2,363636364	3,920169782	4,222222222	6,4	miss
158,769	2	24kk_41521	35	### ### ##### ######## ###########	77	158769	keine	0	244	34	5	9	9	9	9	9	9	9	9	miss
161,797	2	24kk_41521	36	Sie ist nun ruhig	55	161797	keine	0	146	17	4	0,583333333	0,583333333	4	4,636363636	3,5	999	999	999	miss
167,832	2	24kk_41521	37	Er lŠsst sich deswegen keine grauen Haare wachsen	22	167832	keine	0	54	49	8	0,333333333	0,333333333	2,5	3,8	3,636363636	3,711672241	3,571428571	6,8	miss
170,866	2	24kk_41521	38	##### ##### ##### ##### #### ####	77	170866	keine	0	189	33	6	9	9	9	9	9	9	9	9	miss
174,9	2	24kk_41521	39	Er fŸhlt sich nicht wohl	44	174900	keine	0	107	24	5	-1,833333333	1,833333333	4,727272727	5,181818182	2,75	999	999	999	miss
177,928	2	24kk_41521	40	### ### ##### #########	77	177928	keine	0	227	23	4	9	9	9	9	9	9	9	9	miss
184,962	2	24kk_41521	41	Ihr lŠuft die Galle Ÿber	11	184962	keine	0	13	24	5	-2	2	4,285714286	3,333333333	3,454545455	3,691197691	3,125	3,625	miss
188,991	2	24kk_41521	42	### ##### ### ##### ####	77	188991	keine	0	195	24	5	9	9	9	9	9	9	9	9	miss
193,02	2	24kk_41521	43	Er fŠllt durch die AbschlussprŸfung	44	193020	keine	0	95	35	5	-2,5	2,5	5,454545455	3,454545455	3,833333333	999	999	999	miss
196,048	2	24kk_41521	44	Er folgt der Stimme seines Herzens	33	196048	keine	0	81	34	6	2	2	4,142857143	5,2	2,818181818	3,821729672	5,111111111	7	miss
200,082	2	24kk_41521	45	#### #### ### ##### ### #####	77	200082	keine	0	229	29	6	9	9	9	9	9	9	9	9	miss
206,111	2	24kk_41521	46	Wurden dir soeben kleine Kreise gezeigt?	88	206111	keine	0	903	40	6	9	9	9	9	9	9	9	9	miss
211,151	2	24kk_41521	47	Es macht keinen Unterschied fŸr ihn	55	211151	keine	0	124	35	6	-0,090909091	0,090909091	3	5,181818182	2	999	999	999	miss
215,185	2	24kk_41521	48	Sie verwirklicht nun ihren Wunsch	66	215185	keine	0	178	33	5	2,166666667	2,166666667	5,363636364	4	2,333333333	999	999	999	miss
219,213	2	24kk_41521	49	Er feuerte ihn	11	219213	keine	0	10	14	3	-2,111111111	2,111111111	4,875	6,636363636	3,555555556	4,003443973	2,75	5,8	miss
222,242	2	24kk_41521	50	Er wird freundlich aufgenommen	66	222242	keine	0	167	30	4	1,833333333	1,833333333	4,545454546	4,636363636	3,333333333	999	999	999	miss
225,276	2	24kk_41521	51	Sie versteht was er meint	55	225276	keine	0	149	25	5	0,666666667	0,666666667	3,454545455	5,545454546	3,25	999	999	999	miss
229,31	2	24kk_41521	52	## ### ### ### #########	77	229310	keine	0	205	24	5	9	9	9	9	9	9	9	9	miss
232,338	2	24kk_41521	53	### ##### ####### ### ### ### ######### #####	77	232338	keine	0	267	45	8	9	9	9	9	9	9	9	9	miss
237,372	2	24kk_41521	54	Hast du soeben eine Buchstabenreihe gelesen?	88	237372	keine	0	904	44	6	9	9	9	9	9	9	9	9	miss
243,418	2	24kk_41521	55	Mir fŠllt ein Stein vom Herzen	33	243418	keine	0	75	30	6	1,777777778	1,777777778	5,125	6,2	2,909090909	4,029881943	5,75	7	miss
249,446	2	24kk_41521	56	Es ist nicht so schwierig	55	249446	keine	0	145	25	5	0,5	0,5	3,727272727	4,727272727	2,083333333	999	999	999	miss
252,481	2	24kk_41521	57	### ###### ##### ######## #########	77	252481	keine	0	263	35	5	9	9	9	9	9	9	9	9	miss
256,515	2	24kk_41521	58	### ##### ##### ### ### ## ######	77	256515	keine	0	219	33	7	9	9	9	9	9	9	9	9	miss
262,543	2	24kk_41521	59	Er bringt sie zur Wei§glut	11	262543	keine	0	16	26	5	-1,888888889	1,888888889	5,75	5,8	2,666666667	3,780924393	3,571428571	7	miss
266,577	2	24kk_41521	60	Er ist darauf neutral	55	266577	keine	0	133	21	4	0,090909091	0,090909091	2,5	3,1	2	999	999	999	miss
269,606	2	24kk_41521	61	Hat er etwas dagegen?	88	269606	keine	0	905	21	4	9	9	9	9	9	9	9	9	miss
276,646	2	24kk_41521	62	### #### #### ### ######	77	276646	keine	0	193	24	5	9	9	9	9	9	9	9	9	miss
