onset	duration	Experiment - R4CVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,623	2	27TZ_loe4196	1	Sie hat etwas vor	99	1623	keine	0	271	17	4	9	9	9	9	9	9	9	9	miss
4,657	2	27TZ_loe4196	2	Es hat viel damit zu tun	99	4657	keine	0	273	24	6	9	9	9	9	9	9	9	9	miss
7,691	2	27TZ_loe4196	3	Sie fŸhlt sich sorglos	66	7691	keine	0	158	22	4	1,416666667	1,416666667	4,454545455	4,636363636	2,083333333	999	999	999	miss
10,725	2	27TZ_loe4196	4	Sie legt nicht jedes Wort auf die Goldwaage	22	10725	keine	0	41	43	8	-0,111111111	0,111111111	3,5	5,3	2,1	3,691932371	5,428571429	6,25	miss
13,759	2	27TZ_loe4196	5	Er fŸhlt sich entspannt und locker	66	13759	keine	0	162	34	6	1,583333333	1,583333333	4,090909091	4,818181818	3,416666667	999	999	999	miss
18,793	2	27TZ_loe4196	6	Sie verbrachten ein entspanntes Wochenende	66	18793	keine	0	172	42	5	1,916666667	1,916666667	4,909090909	5,636363636	3,333333333	999	999	999	miss
24,832	2	27TZ_loe4196	7	### ### #### ### ###### ## ####	77	24832	keine	0	199	31	7	9	9	9	9	9	9	9	9	miss
28,866	2	27TZ_loe4196	8	### ####### ##### #######	77	28866	keine	0	234	25	4	9	9	9	9	9	9	9	9	miss
32,895	2	27TZ_loe4196	9	### ### ## ### ##### ###### #####	77	32895	keine	0	224	33	7	9	9	9	9	9	9	9	9	miss
37,924	2	27TZ_loe4196	10	Sie veranstalten eine Party fŸr ihn	66	37924	keine	0	159	35	6	1,5	1,5	4,181818182	4,545454546	4,833333333	999	999	999	miss
41,963	2	27TZ_loe4196	11	Sie schaut ihn liebevoll an	66	41963	keine	0	175	27	5	2	2	5,272727273	5,363636364	5,75	999	999	999	miss
45,991	2	27TZ_loe4196	12	Er redete mit Engelszungen	33	45991	keine	0	61	26	4	1,125	1,125	3,625	3,6	4,090909091	3,771969697	4,625	4,75	miss
49,02	2	27TZ_loe4196	13	Sprach er sehr eindringlich und betšrend?	88	49020	Ja	2497	901	41	6	9	9	9	9	9	9	9	9	correct
55,06	2	27TZ_loe4196	14	### ####### #### ###	77	55060	keine	0	192	20	4	9	9	9	9	9	9	9	9	miss
61,088	2	27TZ_loe4196	15	Mir ist es das wert	66	61088	keine	0	154	19	5	1,25	1,25	4,272727273	5,9	1,666666667	999	999	999	miss
64,122	2	27TZ_loe4196	16	## ##### ### ### ###### ### ######	77	64122	keine	0	225	34	7	9	9	9	9	9	9	9	9	miss
67,156	2	27TZ_loe4196	17	Er verliert seine Arbeit	44	67156	keine	0	97	24	4	-2,333333333	2,333333333	5,454545455	4,272727273	3,416666667	999	999	999	miss
71,19	2	27TZ_loe4196	18	Muss er sich einen neuen Arbeitsplatz suchen?	88	71190	Ja	1382	902	45	7	9	9	9	9	9	9	9	9	correct
78,224	2	27TZ_loe4196	19	Sie denkt Ÿber die Vor- und Nachteile nach	55	78224	keine	0	134	42	8	0,166666667	0,166666667	3,4	4,818181818	2,416666667	999	999	999	miss
85,263	2	27TZ_loe4196	20	Er schwimmt im Geld	33	85263	keine	0	62	19	4	1,222222222	1,222222222	3	5,1	3,25	3,557714631	5,888888889	7	miss
91,294	2	27TZ_loe4196	21	Er dreht das Rad der Zeit zurŸck	22	91294	keine	0	44	32	7	0	0	3,625	4	1,909090909	3,570017449	5,111111111	7	miss
94,328	2	27TZ_loe4196	22	Er hintergeht sie	44	94328	keine	0	98	17	3	-2,25	2,25	5,272727273	4,636363636	3,166666667	999	999	999	miss
98,362	2	27TZ_loe4196	23	Es steht noch in den Sternen	22	98362	keine	0	52	28	6	0,25	0,25	2,375	4,818181818	2,090909091	3,644557397	3,5	6,571428571	miss
103,391	2	27TZ_loe4196	24	Er lŠsst sich deswegen keine grauen Haare wachsen	22	103391	keine	0	54	49	8	0,333333333	0,333333333	2,5	3,8	3,636363636	3,711672241	3,571428571	6,8	miss
108,43	2	27TZ_loe4196	25	Sie lacht aus vollem Hals	33	108430	keine	0	67	25	5	1,555555556	1,555555556	5,25	4,1	4,727272727	4,005689941	4,555555556	6,142857143	miss
111,47	2	27TZ_loe4196	26	Sie lŠsst die Seele baumeln	33	111470	keine	0	70	27	5	1,666666667	1,666666667	3,625	5,727272727	3,181818182	4,0092095	3,625	7	miss
117,504	2	27TZ_loe4196	27	Sie ist unsterblich verliebt	33	117504	keine	0	78	28	4	1,888888889	1,888888889	5	6,1	2,363636364	3,974284916	5,111111111	6,625	miss
124,538	2	27TZ_loe4196	28	Sie spuckte Gift und Galle	11	124538	keine	0	19	26	5	-1,888888889	1,888888889	5,375	3,9	3,625	3,736640956	4,125	6	miss
129,567	2	27TZ_loe4196	29	Er hat seine Gelegenheit leider verpasst	44	129567	keine	0	114	40	6	-1,416666667	1,416666667	4,727272727	3,545454546	2,416666667	999	999	999	miss
137,607	2	27TZ_loe4196	30	Er kontrolliert gerade den Ablauf	55	137607	keine	0	123	33	5	-0,25	0,25	3,5	4,090909091	3,090909091	999	999	999	miss
141,648	2	27TZ_loe4196	31	Sie verpasste ihm einen Denkzettel	11	141648	keine	0	29	34	5	-1,555555556	1,555555556	4,375	5,272727273	2,272727273	3,885302287	5	6	miss
144,676	2	27TZ_loe4196	32	Er lebt wie Gott in Frankreich	33	144676	keine	0	66	30	6	1,555555556	1,555555556	3,875	4,2	2,333333333	3,564309236	3,25	7	miss
148,71	2	27TZ_loe4196	33	### ##### ####### ### ### ### ######### #####	77	148710	keine	0	267	45	8	9	9	9	9	9	9	9	9	miss
151,738	2	27TZ_loe4196	34	Sie schwitzte Blut und Wasser	11	151738	keine	0	30	29	5	-1,111111111	1,111111111	4,142857143	4,8	4	4,314285714	4	5	miss
158,772	2	27TZ_loe4196	35	#### ###### ####### #########	77	158772	keine	0	251	29	4	9	9	9	9	9	9	9	9	miss
161,801	2	27TZ_loe4196	36	Sie erzŠhlt was passiert ist	55	161801	keine	0	130	28	5	0	0	3	5,727272727	4,916666667	999	999	999	miss
167,835	2	27TZ_loe4196	37	Er kriegte eine GŠnsehaut	22	167835	keine	0	31	25	4	-0,444444444	0,444444444	5,125	6,636363636	5,181818182	4,330756317	4,142857143	7	miss
170,869	2	27TZ_loe4196	38	### ### ##### #############	77	170869	keine	0	238	27	4	9	9	9	9	9	9	9	9	miss
174,903	2	27TZ_loe4196	39	Das ist eine traurige Geschichte	44	174903	keine	0	108	32	5	-1,833333333	1,833333333	5,181818182	4,727272727	2,5	999	999	999	miss
177,931	2	27TZ_loe4196	40	## ### ### ### #########	77	177931	keine	0	205	24	5	9	9	9	9	9	9	9	9	miss
184,964	2	27TZ_loe4196	41	Sie sŠuft wie ein Loch	11	184964	keine	0	24	22	5	-1,777777778	1,777777778	4	5	4	3,890047159	4,75	7	miss
188,995	2	27TZ_loe4196	42	### ##### ##### ## ### ###### ####	77	188995	keine	0	209	34	7	9	9	9	9	9	9	9	9	miss
193,022	2	27TZ_loe4196	43	Sie ist sehr unaufrichtig	44	193022	keine	0	105	25	4	-1,916666667	1,916666667	4,909090909	2,909090909	2,5	999	999	999	miss
196,051	2	27TZ_loe4196	44	Sie ist in der BlŸte ihrer Jahre	33	196051	keine	0	69	32	7	1,666666667	1,666666667	3,5	4,7	2,545454546	3,864187118	5,444444444	6,625	miss
200,085	2	27TZ_loe4196	45	## ### ####### ##### ######	77	200085	keine	0	265	27	5	9	9	9	9	9	9	9	9	miss
206,114	2	27TZ_loe4196	46	Wurde dir soeben ein Satz prŠsentiert?	88	206114	Ja	1920	903	38	6	9	9	9	9	9	9	9	9	incorrect
211,154	2	27TZ_loe4196	47	Sie beschŠftigt sich mit dem Thema	55	211154	keine	0	142	34	6	0,333333333	0,333333333	3,1	5,727272727	2,666666667	999	999	999	miss
215,188	2	27TZ_loe4196	48	Sie verwirklicht nun ihren Wunsch	66	215188	keine	0	178	33	5	2,166666667	2,166666667	5,363636364	4	2,333333333	999	999	999	miss
219,216	2	27TZ_loe4196	49	Sie stinkt vor Faulheit	11	219216	keine	0	4	23	4	-2,222222222	2,222222222	3,75	3,9	4,272727273	3,927592	4,666666667	5,5	miss
