onset	duration	Experiment - R4CVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,634	2	11KW_412212	1	Sie hat etwas vor	99	1634	keine	0	271	17	4	9	9	9	9	9	9	9	9	miss
4,668	2	11KW_412212	2	Es hat viel damit zu tun	99	4668	keine	0	273	24	6	9	9	9	9	9	9	9	9	miss
7,701	2	11KW_412212	3	Sie fŸhlt sich sorglos	66	7701	keine	0	158	22	4	1,416666667	1,416666667	4,454545455	4,636363636	2,083333333	999	999	999	miss
10,735	2	11KW_412212	4	Sie legt nicht jedes Wort auf die Goldwaage	22	10735	keine	0	41	43	8	-0,111111111	0,111111111	3,5	5,3	2,1	3,691932371	5,428571429	6,25	miss
13,769	2	11KW_412212	5	Er fŸhlt sich entspannt und locker	66	13769	keine	0	162	34	6	1,583333333	1,583333333	4,090909091	4,818181818	3,416666667	999	999	999	miss
18,803	2	11KW_412212	6	Sie verbrachten ein entspanntes Wochenende	66	18803	keine	0	172	42	5	1,916666667	1,916666667	4,909090909	5,636363636	3,333333333	999	999	999	miss
24,843	2	11KW_412212	7	### ### #### ### ###### ## ####	77	24843	keine	0	199	31	7	9	9	9	9	9	9	9	9	miss
28,877	2	11KW_412212	8	### ####### ##### #######	77	28877	keine	0	234	25	4	9	9	9	9	9	9	9	9	miss
32,905	2	11KW_412212	9	### ### ## ### ##### ###### #####	77	32905	keine	0	224	33	7	9	9	9	9	9	9	9	9	miss
37,934	2	11KW_412212	10	Sie veranstalten eine Party fŸr ihn	66	37934	keine	0	159	35	6	1,5	1,5	4,181818182	4,545454546	4,833333333	999	999	999	miss
41,973	2	11KW_412212	11	Sie schaut ihn liebevoll an	66	41973	keine	0	175	27	5	2	2	5,272727273	5,363636364	5,75	999	999	999	miss
46,002	2	11KW_412212	12	Er redete mit Engelszungen	33	46002	keine	0	61	26	4	1,125	1,125	3,625	3,6	4,090909091	3,771969697	4,625	4,75	miss
49,031	2	11KW_412212	13	Sprach er sehr eindringlich und betšrend?	88	49031	keine	0	901	41	6	9	9	9	9	9	9	9	9	miss
55,07	2	11KW_412212	14	### ####### #### ###	77	55070	keine	0	192	20	4	9	9	9	9	9	9	9	9	miss
61,099	2	11KW_412212	15	Mir ist es das wert	66	61099	keine	0	154	19	5	1,25	1,25	4,272727273	5,9	1,666666667	999	999	999	miss
64,133	2	11KW_412212	16	## ##### ### ### ###### ### ######	77	64133	keine	0	225	34	7	9	9	9	9	9	9	9	9	miss
67,167	2	11KW_412212	17	Er verliert seine Arbeit	44	67167	keine	0	97	24	4	-2,333333333	2,333333333	5,454545455	4,272727273	3,416666667	999	999	999	miss
