onset	duration	Experiment - R3BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,635	2	02CF_loe4067	1	Sie ist sehr konzentriert	99	1635	keine	0	276	25	4	9	9	9	9	9	9	9	9	miss
4,669	2	02CF_loe4067	2	Es hat viel damit zu tun	99	4669	keine	0	273	24	6	9	9	9	9	9	9	9	9	miss
7,703	2	02CF_loe4067	3	Sie macht sich Sorgen um ihre Zukunft	44	7703	keine	0	101	37	7	-2,083333333	2,083333333	5,454545455	5,363636364	2,75	999	999	999	miss
12,736	2	02CF_loe4067	4	## ##### ## #### ### #####	77	12736	keine	0	228	26	6	9	9	9	9	9	9	9	9	miss
18,776	2	02CF_loe4067	5	Das ist eine traurige Geschichte	44	18776	keine	0	108	32	5	-1,833333333	1,833333333	5,181818182	4,727272727	2,5	999	999	999	miss
24,811	2	02CF_loe4067	6	Er folgt der Stimme seines Herzens	33	24811	keine	0	81	34	6	2	2	4,142857143	5,2	2,818181818	3,821729672	5,111111111	7	miss
29,845	2	02CF_loe4067	7	Er genießt die Gesellschaft	66	29845	keine	0	176	27	4	2	2	5	5,181818182	3,333333333	999	999	999	miss
32,885	2	02CF_loe4067	8	Er benimmt sich wie ein Elefant im Porzellanladen	11	32885	keine	0	28	49	8	-1,666666667	1,666666667	4,125	5,4	3,363636364	4,014075192	5,714285714	7	miss
35,919	2	02CF_loe4067	9	Er kann das nicht mehr leiden	44	35919	keine	0	115	29	6	-1,25	1,25	4,6	4,454545455	2,416666667	999	999	999	miss
38,952	2	02CF_loe4067	10	Er feuerte ihn	11	38952	keine	0	10	14	3	-2,111111111	2,111111111	4,875	6,636363636	3,555555556	4,003443973	2,75	5,8	miss
41,986	2	02CF_loe4067	11	Wurde ihm gekündigt?	88	41986	Ja	1635	909	20	3	9	9	9	9	9	9	9	9	correct
