onset	duration	Experiment - R2BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,63	2	02CF_loe4067	1	Er bekam sein Fett weg	99	1630	0	275	22	5	9	9	9	9	9	9	9	9	9	n/a
4,663	2	02CF_loe4067	2	Er mag keine Suppe	99	4663	0	272	18	4	9	9	9	9	9	9	9	9	9	n/a
7,697	2	02CF_loe4067	3	Er fÙhlt sich entspannt und locker	66	7697	0	162	34	6	1,583333333	1,583333333	4,090909091	4,818181818	3,416666667	999	999	999	999	n/a
12,731	2	02CF_loe4067	4	Ist er innerlich angespannt?	88	12731	2075	917	28	4	9	9	9	9	9	9	9	9	9	n/a
20,776	2	02CF_loe4067	5	Sie macht einen Vorschlag	55	20776	0	122	25	4	-0,25	0,25	3,090909091	5,181818182	3,909090909	999	999	999	999	n/a
26,794	2	02CF_loe4067	6	#### ##### #### #####	77	26794	0	184	21	4	9	9	9	9	9	9	9	9	9	n/a
31,829	2	02CF_loe4067	7	Sie reagierte enthusiastisch auf den Vorschlag	66	31829	0	160	46	6	1,5	1,5	5,545454546	3,818181818	3,916666667	999	999	999	999	n/a
34,868	2	02CF_loe4067	8	Sie ist fit wie ein Turnschuh	33	34868	0	86	29	6	2,333333333	2,333333333	3,375	6,090909091	3,272727273	3,936479301	5,25	6,5	6,5	n/a
37,903	2	02CF_loe4067	9	Ihr l_uft die Galle Ùber	11	37903	0	13	24	5	-2	2	4,285714286	3,333333333	3,454545455	3,691197691	3,125	3,625	3,625	n/a
40,936	2	02CF_loe4067	10	Er bringt sie zur Wei¤glut	11	40936	0	16	26	5	-1,888888889	1,888888889	5,75	5,8	2,666666667	3,780924393	3,571428571	7	7	n/a
43,97	2	02CF_loe4067	11	#### ###### ###### #######	77	43970	0	256	26	4	9	9	9	9	9	9	9	9	9	n/a
