onset	duration	Experiment - R2AVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,62	2	1712nk_4142	1	Es hat viel damit zu tun	99	1620	keine	0	273	24	6	9	9	9	9	9	9	9	9	miss
4,654	2	1712nk_4142	2	Es st_rt keinen gro¤en Geist	99	4654	keine	0	274	28	5	9	9	9	9	9	9	9	9	miss
7,688	2	1712nk_4142	3	Er hat im Lotto gewonnen	66	7688	keine	0	174	24	5	2	2	5,636363636	4,181818182	4,25	999	999	999	miss
12,722	2	1712nk_4142	4	Hat er die richtigen Zahlen gew_hlt?	88	12722	Ja	1427	917	36	6	9	9	9	9	9	9	9	9	correct
20,768	2	1712nk_4142	5	Es war ein ganz normaler Tag	55	20768	keine	0	125	28	6	-0,083333333	0,083333333	2,9	5,4	1,75	999	999	999	miss
26,802	2	1712nk_4142	6	#### ##### ##### ##### ####	77	26802	keine	0	237	27	5	9	9	9	9	9	9	9	9	miss
31,836	2	1712nk_4142	7	Sie verwirklicht nun ihren Wunsch	66	31836	keine	0	178	33	5	2,166666667	2,166666667	5,363636364	4	2,333333333	999	999	999	miss
34,876	2	1712nk_4142	8	Er folgt der Stimme seines Herzens	33	34876	keine	0	81	34	6	2	2	4,142857143	5,2	2,818181818	3,821729672	5,111111111	7	miss
37,91	2	1712nk_4142	9	Er bringt sie zur Wei¤glut	11	37910	keine	0	16	26	5	-1,888888889	1,888888889	5,75	5,8	2,666666667	3,780924393	3,571428571	7	miss
40,944	2	1712nk_4142	10	Er ist eine falsche Schlange	11	40944	keine	0	6	28	5	-2,222222222	2,222222222	4,375	4,9	2	3,858075672	4	7	miss
43,978	2	1712nk_4142	11	##### ##### #### ###### ##### ######## ###### ####	77	43978	keine	0	187	50	8	9	9	9	9	9	9	9	9	miss
48,011	2	1712nk_4142	12	Er erinnert sich an die letzte Woche	55	48011	keine	0	141	36	7	0,272727273	0,272727273	3	4,636363636	2,090909091	999	999	999	miss
51,04	2	1712nk_4142	13	Sie ist ihr ein Dorn im Auge	11	51040	keine	0	17	28	7	-1,888888889	1,888888889	3,857142857	5,5	3	3,837884849	4,75	5,714285714	miss
58,073	2	1712nk_4142	14	Er ist Ùberheblich	44	58073	keine	0	102	18	3	-2	2	4,909090909	4,818181818	2,5	999	999	999	miss
63,103	2	1712nk_4142	15	Das war eine sch_ne Erinnerung	66	63103	keine	0	166	30	5	1,75	1,75	5	5,363636364	2,166666667	999	999	999	miss
67,143	2	1712nk_4142	16	### ###### ### ##### ###	77	67143	keine	0	200	24	5	9	9	9	9	9	9	9	9	miss
73,172	2	1712nk_4142	17	Er leidet sehr unter der Kritik seines Chefs	44	73172	keine	0	100	44	8	-2,083333333	2,083333333	5,727272727	3,636363636	3,833333333	999	999	999	miss
76,206	2	1712nk_4142	18	Hat ihn seine Arbeitskollegin kritisiert?	88	76206	Nein	2236	918	41	5	9	9	9	9	9	9	9	9	correct
81,244	2	1712nk_4142	19	Sie ist z_h wie Leder	22	81244	keine	0	50	21	5	0,222222222	0,222222222	3,25	3,4	3,363636364	3,760535501	6,444444444	5,166666667	miss
86,279	2	1712nk_4142	20	Sie tr_gt das Herz auf der Zunge	22	86279	keine	0	56	32	7	0,333333333	0,333333333	4	3,727272727	3,363636364	3,820586099	4,333333333	6	miss
93,319	2	1712nk_4142	21	#### ## ### ##### ######	77	93319	keine	0	232	24	5	9	9	9	9	9	9	9	9	miss
96,346	2	1712nk_4142	22	### #### #### ### ######	77	96346	keine	0	193	24	5	9	9	9	9	9	9	9	9	miss
100,382	2	1712nk_4142	23	Er tr_umt in den Tag hinein	22	100382	keine	0	38	27	6	-0,111111111	0,111111111	3,5	4,8	2,090909091	3,727815594	5,333333333	4,75	miss
103,411	2	1712nk_4142	24	Er hat Schmetterlinge im Bauch	33	103411	keine	0	87	30	5	2,375	2,375	4,75	6	3,363636364	4,064976457	3,375	7	miss
106,444	2	1712nk_4142	25	Sie hat lange darunter gelitten	44	106444	keine	0	96	31	5	-2,333333333	2,333333333	5,636363636	5,090909091	2,5	999	999	999	miss
110,478	2	1712nk_4142	26	Mir ist es das wert	66	110478	keine	0	154	19	5	1,25	1,25	4,272727273	5,9	1,666666667	999	999	999	miss
114,507	2	1712nk_4142	27	Er spaziert durch die Sonne	66	114507	keine	0	153	27	5	1,166666667	1,166666667	3,909090909	4,727272727	5,333333333	999	999	999	miss
122,535	2	1712nk_4142	28	Er hat einen an der Birne	11	122535	keine	0	15	25	6	-1,888888889	1,888888889	3	4,222222222	2,6	3,274074074	2,285714286	5	miss
125,576	2	1712nk_4142	29	### ##### ### #### #######	77	125576	keine	0	201	26	5	9	9	9	9	9	9	9	9	miss
129,609	2	1712nk_4142	30	Es passt wie die Faust aufs Auge	33	129609	keine	0	68	32	7	1,666666667	1,666666667	3	5,9	2,9	3,753424585	4	7	miss
132,638	2	1712nk_4142	31	### #### #### #### ###### ######	77	132638	keine	0	254	32	6	9	9	9	9	9	9	9	9	miss
138,671	2	1712nk_4142	32	Sie hat einen Schnupfen	44	138671	keine	0	112	23	4	-1,75	1,75	3,545454546	4,545454546	5,333333333	999	999	999	miss
142,706	2	1712nk_4142	33	L_uft ihre Nase?	88	142706	Ja	1872	919	16	3	9	9	9	9	9	9	9	9	correct
148,741	2	1712nk_4142	34	## #### #### ##### ### ### #####	77	148741	keine	0	248	32	7	9	9	9	9	9	9	9	9	miss
154,769	2	1712nk_4142	35	#### ###### #########	77	154769	keine	0	233	21	3	9	9	9	9	9	9	9	9	miss
162,804	2	1712nk_4142	36	### ####### ###### ########### ##	77	162804	keine	0	269	33	5	9	9	9	9	9	9	9	9	miss
165,844	2	1712nk_4142	37	Sie wird herzlich begrÙ¤t	66	165844	keine	0	171	25	4	1,916666667	1,916666667	5,454545455	5,545454546	4,916666667	999	999	999	miss
168,878	2	1712nk_4142	38	War der Empfang unfreundlich?	88	168878	Nein	1777	920	29	4	9	9	9	9	9	9	9	9	correct
173,917	2	1712nk_4142	39	Sie sieht alles schwarz	11	173917	keine	0	2	23	4	-2,222222222	2,222222222	3,875	5,454545455	3,727272727	4,079161024	4,888888889	6,7	miss
179,951	2	1712nk_4142	40	Sie machte ihn zur Sau	11	179951	keine	0	20	22	5	-1,888888889	1,888888889	5,125	5,5	3,181818182	4,02007152	3,25	7	miss
