onset	duration	Experiment - R3AVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,629	2	1712nk_4142	1	Er bekam sein Fett weg	99	1629	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
4,662	2	1712nk_4142	2	Sie ist sehr konzentriert	99	4662	keine	0	276	25	4	9	9	9	9	9	9	9	9	miss
7,696	2	1712nk_4142	3	Sie wird dafŸr hart bestraft	44	7696	keine	0	94	28	5	-2,5	2,5	5,727272727	3,545454546	3,583333333	999	999	999	miss
12,73	2	1712nk_4142	4	## ##### ### #####	77	12730	keine	0	198	18	4	9	9	9	9	9	9	9	9	miss
18,77	2	1712nk_4142	5	Das war eine schwierige Entscheidung	44	18770	keine	0	120	36	5	-0,363636364	0,363636364	5	5,909090909	2,166666667	999	999	999	miss
24,804	2	1712nk_4142	6	Sie hat einen Geistesblitz	33	24804	keine	0	74	26	4	1,777777778	1,777777778	3,875	5,7	3,454545455	3,908511154	3,875	6,8	miss
29,839	2	1712nk_4142	7	Alles ist in Ordnung	66	29839	keine	0	155	20	4	1,25	1,25	3,727272727	5,454545455	1,916666667	999	999	999	miss
32,878	2	1712nk_4142	8	Er feuerte ihn	11	32878	keine	0	10	14	3	-2,111111111	2,111111111	4,875	6,636363636	3,555555556	4,003443973	2,75	5,8	miss
35,913	2	1712nk_4142	9	Er wird den ganzen Tag in der Schule geŠrgert	44	35913	keine	0	92	45	9	-2,583333333	2,583333333	4,818181818	3,727272727	3,916666667	999	999	999	miss
38,946	2	1712nk_4142	10	Er lŠsst kein gutes Haar daran	11	38946	keine	0	26	30	6	-1,75	1,75	3,625	5,222222222	2	3,634250914	3,888888889	7	miss
41,98	2	1712nk_4142	11	Ist seine Kritik negativ?	88	41980	Ja	2290	909	25	4	9	9	9	9	9	9	9	9	correct
48,019	2	1712nk_4142	12	Er fŸhlt sich nicht wohl	44	48019	keine	0	107	24	5	-1,833333333	1,833333333	4,727272727	5,181818182	2,75	999	999	999	miss
51,049	2	1712nk_4142	13	## ### #### ###### ### ### ### ####### ########	77	51049	keine	0	216	47	9	9	9	9	9	9	9	9	9	miss
58,082	2	1712nk_4142	14	Sie verbrachten ein entspanntes Wochenende	66	58082	keine	0	172	42	5	1,916666667	1,916666667	4,909090909	5,636363636	3,333333333	999	999	999	miss
