onset	duration	Experiment - R1BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,628	2	26LH_loe4195	1	Es st_rt keinen gro¤en Geist	99	1628	keine	0	274	28	5	9	9	9	9	9	9	9	9	miss
4,661	2	26LH_loe4195	2	Sie hat etwas vor	99	4661	keine	0	271	17	4	9	9	9	9	9	9	9	9	miss
7,695	2	26LH_loe4195	3	Er steht im Zenit seines Lebens	33	7695	keine	0	71	31	6	1,666666667	1,666666667	3,625	3	2,727272727	3,675413869	4,875	5,5	miss
12,728	2	26LH_loe4195	4	### ### ##### #########	77	12728	keine	0	227	23	4	9	9	9	9	9	9	9	9	miss
18,768	2	26LH_loe4195	5	Sie geht an die Decke	11	18768	keine	0	23	21	5	-1,777777778	1,777777778	5,25	5,8	2,9	3,877562694	3,375	7	miss
24,803	2	26LH_loe4195	6	Das war eine schwierige Entscheidung	44	24803	keine	0	120	36	5	-0,363636364	0,363636364	5	5,909090909	2,166666667	999	999	999	miss
29,837	2	26LH_loe4195	7	Sie holt fÙr ihn die Sterne vom Himmel	33	29837	keine	0	84	38	8	2,125	2,125	4,375	5,7	2,454545455	3,838892776	5,25	7	miss
32,877	2	26LH_loe4195	8	BemÙht sie sich fÙr ihn?	88	32877	keine	0	901	24	5	9	9	9	9	9	9	9	9	miss
37,916	2	26LH_loe4195	9	Sie setzen ihn auf freien Fu¤	22	37916	keine	0	49	29	6	0,222222222	0,222222222	3	5,1	2,222222222	3,505876556	3,777777778	7	miss
40,95	2	26LH_loe4195	10	## #### ##### ##########	77	40950	keine	0	221	24	4	9	9	9	9	9	9	9	9	miss
43,984	2	26LH_loe4195	11	Er hat bei ihm verspielt	11	43984	keine	0	25	24	5	-1,777777778	1,777777778	4,375	4,818181818	2,363636364	3,915117004	4	7	miss
48,018	2	26LH_loe4195	12	#### ## ### ##### ######	77	48018	keine	0	232	24	5	9	9	9	9	9	9	9	9	miss
51,046	2	26LH_loe4195	13	Er ist Ùberheblich	44	51046	keine	0	102	18	3	-2	2	4,909090909	4,818181818	2,5	999	999	999	miss
58,08	2	26LH_loe4195	14	Sie sieht alles schwarz	11	58080	keine	0	2	23	4	-2,222222222	2,222222222	3,875	5,454545455	3,727272727	4,079161024	4,888888889	6,7	miss
63,109	2	26LH_loe4195	15	## ### ##### ############	77	63109	keine	0	194	25	4	9	9	9	9	9	9	9	9	miss
67,149	2	26LH_loe4195	16	Es passt wie die Faust aufs Auge	33	67149	keine	0	68	32	7	1,666666667	1,666666667	3	5,9	2,9	3,753424585	4	7	miss
