onset	duration	Experiment - R3BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,619	2	26LH_loe4195	1	Sie ist sehr konzentriert	99	1619	keine	0	276	25	4	9	9	9	9	9	9	9	9	miss
4,653	2	26LH_loe4195	2	Es hat viel damit zu tun	99	4653	keine	0	273	24	6	9	9	9	9	9	9	9	9	miss
7,687	2	26LH_loe4195	3	Sie macht sich Sorgen um ihre Zukunft	44	7687	keine	0	101	37	7	-2,083333333	2,083333333	5,454545455	5,363636364	2,75	999	999	999	miss
12,721	2	26LH_loe4195	4	## ##### ## #### ### #####	77	12721	keine	0	228	26	6	9	9	9	9	9	9	9	9	miss
18,76	2	26LH_loe4195	5	Das ist eine traurige Geschichte	44	18760	keine	0	108	32	5	-1,833333333	1,833333333	5,181818182	4,727272727	2,5	999	999	999	miss
24,795	2	26LH_loe4195	6	Er folgt der Stimme seines Herzens	33	24795	keine	0	81	34	6	2	2	4,142857143	5,2	2,818181818	3,821729672	5,111111111	7	miss
29,829	2	26LH_loe4195	7	Er genießt die Gesellschaft	66	29829	keine	0	176	27	4	2	2	5	5,181818182	3,333333333	999	999	999	miss
32,87	2	26LH_loe4195	8	Er benimmt sich wie ein Elefant im Porzellanladen	11	32870	keine	0	28	49	8	-1,666666667	1,666666667	4,125	5,4	3,363636364	4,014075192	5,714285714	7	miss
35,903	2	26LH_loe4195	9	Er kann das nicht mehr leiden	44	35903	keine	0	115	29	6	-1,25	1,25	4,6	4,454545455	2,416666667	999	999	999	miss
38,936	2	26LH_loe4195	10	Er feuerte ihn	11	38936	keine	0	10	14	3	-2,111111111	2,111111111	4,875	6,636363636	3,555555556	4,003443973	2,75	5,8	miss
41,97	2	26LH_loe4195	11	Wurde ihm gekündigt?	88	41970	Ja	933	909	20	3	9	9	9	9	9	9	9	9	correct
48,01	2	26LH_loe4195	12	Sie lag erschöpft im Bett	44	48010	keine	0	119	25	5	-0,833333333	0,833333333	4,636363636	5,454545455	5	999	999	999	miss
51,039	2	26LH_loe4195	13	### ######### #### ########### ### ### ######	77	51039	keine	0	260	45	7	9	9	9	9	9	9	9	9	miss
58,072	2	26LH_loe4195	14	Sie genießt ihre Freizeit	66	58072	keine	0	164	25	4	1,666666667	1,666666667	5,090909091	5,909090909	2,916666667	999	999	999	miss
63,102	2	26LH_loe4195	15	Er ist total zufrieden mit sich	66	63102	keine	0	179	31	6	2,583333333	2,583333333	5,545454546	4,818181818	2,833333333	999	999	999	miss
67,141	2	26LH_loe4195	16	Er denkt jetzt daran	55	67141	keine	0	127	20	4	0	0	2,9	5,3	2,333333333	999	999	999	miss
73,17	2	26LH_loe4195	17	Sie wird dafür hart bestraft	44	73170	keine	0	94	28	5	-2,5	2,5	5,727272727	3,545454546	3,583333333	999	999	999	miss
