onset	duration	Experiment - R2BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,623	2	26LH_loe4195	1	Er bekam sein Fett weg	99	1623	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
4,657	2	26LH_loe4195	2	Er mag keine Suppe	99	4657	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
7,691	2	26LH_loe4195	3	Er fŸhlt sich entspannt und locker	66	7691	keine	0	162	34	6	1,583333333	1,583333333	4,090909091	4,818181818	3,416666667	999	999	999	miss
12,724	2	26LH_loe4195	4	Ist er innerlich angespannt?	88	12724	Nein	1388	917	28	4	9	9	9	9	9	9	9	9	correct
20,769	2	26LH_loe4195	5	Sie macht einen Vorschlag	55	20769	keine	0	122	25	4	-0,25	0,25	3,090909091	5,181818182	3,909090909	999	999	999	miss
26,804	2	26LH_loe4195	6	#### ##### #### #####	77	26804	keine	0	184	21	4	9	9	9	9	9	9	9	9	miss
31,839	2	26LH_loe4195	7	Sie reagierte enthusiastisch auf den Vorschlag	66	31839	keine	0	160	46	6	1,5	1,5	5,545454546	3,818181818	3,916666667	999	999	999	miss
34,878	2	26LH_loe4195	8	Sie ist fit wie ein Turnschuh	33	34878	keine	0	86	29	6	2,333333333	2,333333333	3,375	6,090909091	3,272727273	3,936479301	5,25	6,5	miss
37,912	2	26LH_loe4195	9	Ihr lŠuft die Galle Ÿber	11	37912	keine	0	13	24	5	-2	2	4,285714286	3,333333333	3,454545455	3,691197691	3,125	3,625	miss
40,946	2	26LH_loe4195	10	Er bringt sie zur Wei§glut	11	40946	keine	0	16	26	5	-1,888888889	1,888888889	5,75	5,8	2,666666667	3,780924393	3,571428571	7	miss
43,98	2	26LH_loe4195	11	#### ###### ###### #######	77	43980	keine	0	256	26	4	9	9	9	9	9	9	9	9	miss
48,015	2	26LH_loe4195	12	Sie bespricht die Angelegenheit mit ihren Kollegen	55	48015	keine	0	126	50	7	0	0	3,181818182	5,181818182	5,363636364	999	999	999	miss
51,042	2	26LH_loe4195	13	Sie stinkt vor Faulheit	11	51042	keine	0	4	23	4	-2,222222222	2,222222222	3,75	3,9	4,272727273	3,927592	4,666666667	5,5	miss
58,076	2	26LH_loe4195	14	Sie ist davon verwirrt	44	58076	keine	0	116	22	4	-1,166666667	1,166666667	4,363636364	5,545454546	2,666666667	999	999	999	miss
63,105	2	26LH_loe4195	15	Er gewinnt neues Selbstvertrauen	66	63105	keine	0	169	32	4	1,833333333	1,833333333	5,272727273	4,363636364	2,583333333	999	999	999	miss
67,145	2	26LH_loe4195	16	##### ##### ##### ##### #### ####	77	67145	keine	0	189	33	6	9	9	9	9	9	9	9	9	miss
73,174	2	26LH_loe4195	17	Sie Šrgert sich Ÿber ihren Vorgesetzten	44	73174	keine	0	109	39	6	-1,75	1,75	5	4	4,416666667	999	999	999	miss
76,208	2	26LH_loe4195	18	€rgert sie sich Ÿber ihre Schwester?	88	76208	Nein	1610	918	36	6	9	9	9	9	9	9	9	9	correct
81,248	2	26LH_loe4195	19	Er kommt Ÿber die Runden	22	81248	keine	0	39	24	5	-0,111111111	0,111111111	2,25	5,7	1,333333333	3,314000988	3,375	7	miss
86,281	2	26LH_loe4195	20	Sie redet Klartext	22	86281	keine	0	58	18	3	0,444444444	0,444444444	4,25	6,1	4,818181818	4,1943856	5,666666667	7	miss
93,321	2	26LH_loe4195	21	### ### #########	77	93321	keine	0	247	17	3	9	9	9	9	9	9	9	9	miss
96,351	2	26LH_loe4195	22	### ###### ##### ######## #########	77	96351	keine	0	263	35	5	9	9	9	9	9	9	9	9	miss
100,384	2	26LH_loe4195	23	Sie baut Luftschlšsser	22	100384	keine	0	37	22	3	-0,125	0,125	3,75	4,1	2,181818182	3,684456299	5,375	7	miss
