onset	duration	Experiment - R2BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,628	2	06MD_4099	1	Er bekam sein Fett weg	99	1628	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
4,662	2	06MD_4099	2	Er mag keine Suppe	99	4662	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
7,696	2	06MD_4099	3	Er fŸhlt sich entspannt und locker	66	7696	keine	0	162	34	6	1,583333333	1,583333333	4,090909091	4,818181818	3,416666667	999	999	999	miss
12,73	2	06MD_4099	4	Ist er innerlich angespannt?	88	12730	Nein	1630	917	28	4	9	9	9	9	9	9	9	9	correct
20,775	2	06MD_4099	5	Sie macht einen Vorschlag	55	20775	keine	0	122	25	4	-0,25	0,25	3,090909091	5,181818182	3,909090909	999	999	999	miss
26,81	2	06MD_4099	6	#### ##### #### #####	77	26810	keine	0	184	21	4	9	9	9	9	9	9	9	9	miss
31,845	2	06MD_4099	7	Sie reagierte enthusiastisch auf den Vorschlag	66	31845	keine	0	160	46	6	1,5	1,5	5,545454546	3,818181818	3,916666667	999	999	999	miss
34,884	2	06MD_4099	8	Sie ist fit wie ein Turnschuh	33	34884	keine	0	86	29	6	2,333333333	2,333333333	3,375	6,090909091	3,272727273	3,936479301	5,25	6,5	miss
37,918	2	06MD_4099	9	Ihr lŠuft die Galle Ÿber	11	37918	keine	0	13	24	5	-2	2	4,285714286	3,333333333	3,454545455	3,691197691	3,125	3,625	miss
40,952	2	06MD_4099	10	Er bringt sie zur Wei§glut	11	40952	keine	0	16	26	5	-1,888888889	1,888888889	5,75	5,8	2,666666667	3,780924393	3,571428571	7	miss
43,986	2	06MD_4099	11	#### ###### ###### #######	77	43986	keine	0	256	26	4	9	9	9	9	9	9	9	9	miss
48,021	2	06MD_4099	12	Sie bespricht die Angelegenheit mit ihren Kollegen	55	48021	keine	0	126	50	7	0	0	3,181818182	5,181818182	5,363636364	999	999	999	miss
51,048	2	06MD_4099	13	Sie stinkt vor Faulheit	11	51048	keine	0	4	23	4	-2,222222222	2,222222222	3,75	3,9	4,272727273	3,927592	4,666666667	5,5	miss
58,082	2	06MD_4099	14	Sie ist davon verwirrt	44	58082	keine	0	116	22	4	-1,166666667	1,166666667	4,363636364	5,545454546	2,666666667	999	999	999	miss
63,112	2	06MD_4099	15	Er gewinnt neues Selbstvertrauen	66	63112	keine	0	169	32	4	1,833333333	1,833333333	5,272727273	4,363636364	2,583333333	999	999	999	miss
67,152	2	06MD_4099	16	##### ##### ##### ##### #### ####	77	67152	keine	0	189	33	6	9	9	9	9	9	9	9	9	miss
73,18	2	06MD_4099	17	Sie Šrgert sich Ÿber ihren Vorgesetzten	44	73180	keine	0	109	39	6	-1,75	1,75	5	4	4,416666667	999	999	999	miss
76,215	2	06MD_4099	18	€rgert sie sich Ÿber ihre Schwester?	88	76215	Nein	1773	918	36	6	9	9	9	9	9	9	9	9	correct
81,254	2	06MD_4099	19	Er kommt Ÿber die Runden	22	81254	keine	0	39	24	5	-0,111111111	0,111111111	2,25	5,7	1,333333333	3,314000988	3,375	7	miss
86,287	2	06MD_4099	20	Sie redet Klartext	22	86287	keine	0	58	18	3	0,444444444	0,444444444	4,25	6,1	4,818181818	4,1943856	5,666666667	7	miss
93,328	2	06MD_4099	21	### ### #########	77	93328	keine	0	247	17	3	9	9	9	9	9	9	9	9	miss
96,357	2	06MD_4099	22	### ###### ##### ######## #########	77	96357	keine	0	263	35	5	9	9	9	9	9	9	9	9	miss
100,391	2	06MD_4099	23	Sie baut Luftschlšsser	22	100391	keine	0	37	22	3	-0,125	0,125	3,75	4,1	2,181818182	3,684456299	5,375	7	miss
103,419	2	06MD_4099	24	Er ist bis Ÿber beide Ohren verliebt	33	103419	keine	0	88	36	7	2,555555556	2,555555556	5,5	6	2,727272727	4,021927447	4,125	7	miss
106,453	2	06MD_4099	25	Er ist krank geworden	44	106453	keine	0	93	21	4	-2,583333333	2,583333333	4,272727273	4,909090909	4,166666667	999	999	999	miss
110,487	2	06MD_4099	26	Alles ist in Ordnung	66	110487	keine	0	155	20	4	1,25	1,25	3,727272727	5,454545455	1,916666667	999	999	999	miss
114,516	2	06MD_4099	27	Er spaziert durch die Sonne	66	114516	keine	0	153	27	5	1,166666667	1,166666667	3,909090909	4,727272727	5,333333333	999	999	999	miss
122,544	2	06MD_4099	28	Sie steckt bis Ÿber die Ohren in Schulden	11	122544	keine	0	14	41	8	-2	2	4	4,6	2,454545455	3,812915363	6,125	7	miss
125,584	2	06MD_4099	29	### #### ########	77	125584	keine	0	185	17	3	9	9	9	9	9	9	9	9	miss
129,618	2	06MD_4099	30	Sie lacht aus vollem Hals	33	129618	keine	0	67	25	5	1,555555556	1,555555556	5,25	4,1	4,727272727	4,005689941	4,555555556	6,142857143	miss
