onset	duration	Experiment - R1BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,632	2	06MD_4099	1	Es st_rt keinen gro¤en Geist	99	1632	keine	0	274	28	5	9	9	9	9	9	9	9	9	miss
4,666	2	06MD_4099	2	Sie hat etwas vor	99	4666	keine	0	271	17	4	9	9	9	9	9	9	9	9	miss
7,704	2	06MD_4099	3	Er steht im Zenit seines Lebens	33	7704	keine	0	71	31	6	1,666666667	1,666666667	3,625	3	2,727272727	3,675413869	4,875	5,5	miss
12,733	2	06MD_4099	4	### ### ##### #########	77	12733	keine	0	227	23	4	9	9	9	9	9	9	9	9	miss
18,773	2	06MD_4099	5	Sie geht an die Decke	11	18773	keine	0	23	21	5	-1,777777778	1,777777778	5,25	5,8	2,9	3,877562694	3,375	7	miss
24,808	2	06MD_4099	6	Das war eine schwierige Entscheidung	44	24808	keine	0	120	36	5	-0,363636364	0,363636364	5	5,909090909	2,166666667	999	999	999	miss
29,843	2	06MD_4099	7	Sie holt fÙr ihn die Sterne vom Himmel	33	29843	keine	0	84	38	8	2,125	2,125	4,375	5,7	2,454545455	3,838892776	5,25	7	miss
32,882	2	06MD_4099	8	BemÙht sie sich fÙr ihn?	88	32882	Ja	1762	901	24	5	9	9	9	9	9	9	9	9	correct
37,922	2	06MD_4099	9	Sie setzen ihn auf freien Fu¤	22	37922	keine	0	49	29	6	0,222222222	0,222222222	3	5,1	2,222222222	3,505876556	3,777777778	7	miss
40,956	2	06MD_4099	10	## #### ##### ##########	77	40956	keine	0	221	24	4	9	9	9	9	9	9	9	9	miss
43,989	2	06MD_4099	11	Er hat bei ihm verspielt	11	43989	keine	0	25	24	5	-1,777777778	1,777777778	4,375	4,818181818	2,363636364	3,915117004	4	7	miss
48,023	2	06MD_4099	12	#### ## ### ##### ######	77	48023	keine	0	232	24	5	9	9	9	9	9	9	9	9	miss
51,051	2	06MD_4099	13	Er ist Ùberheblich	44	51051	keine	0	102	18	3	-2	2	4,909090909	4,818181818	2,5	999	999	999	miss
58,085	2	06MD_4099	14	Sie sieht alles schwarz	11	58085	keine	0	2	23	4	-2,222222222	2,222222222	3,875	5,454545455	3,727272727	4,079161024	4,888888889	6,7	miss
63,115	2	06MD_4099	15	## ### ##### ############	77	63115	keine	0	194	25	4	9	9	9	9	9	9	9	9	miss
67,155	2	06MD_4099	16	Es passt wie die Faust aufs Auge	33	67155	keine	0	68	32	7	1,666666667	1,666666667	3	5,9	2,9	3,753424585	4	7	miss
73,183	2	06MD_4099	17	Sie schl_ft gut	66	73183	keine	0	168	15	3	1,833333333	1,833333333	4,454545455	5,272727273	4,916666667	999	999	999	miss
76,218	2	06MD_4099	18	Er fÙhlt sich nicht wohl	44	76218	keine	0	107	24	5	-1,833333333	1,833333333	4,727272727	5,181818182	2,75	999	999	999	miss
79,252	2	06MD_4099	19	Sie redet nicht um den hei¤en Brei	22	79252	keine	0	33	34	7	-0,222222222	0,222222222	3,285714286	5,272727273	3,777777778	3,812515985	2,875	6,5	miss
84,286	2	06MD_4099	20	Sie haben einen Bericht geschrieben	55	84286	keine	0	132	35	5	0,083333333	0,083333333	2,909090909	5,090909091	4,583333333	999	999	999	miss
91,325	2	06MD_4099	21	Haben Sie einen Film gedreht?	88	91325	Nein	1603	902	29	5	9	9	9	9	9	9	9	9	correct
96,36	2	06MD_4099	22	### ##### ### ####### ####	77	96360	keine	0	226	26	5	9	9	9	9	9	9	9	9	miss
100,394	2	06MD_4099	23	Er schweigt wie ein Grab	22	100394	keine	0	47	24	5	0,111111111	0,111111111	3,75	5,454545455	4	4,004517337	5,888888889	6,5	miss
103,423	2	06MD_4099	24	Sie verwirklicht nun ihren Wunsch	66	103423	keine	0	178	33	5	2,166666667	2,166666667	5,363636364	4	2,333333333	999	999	999	miss
106,456	2	06MD_4099	25	### ### ##### #############	77	106456	keine	0	238	27	4	9	9	9	9	9	9	9	9	miss
110,491	2	06MD_4099	26	Er wird den ganzen Tag in der Schule ge_rgert	44	110491	keine	0	92	45	9	-2,583333333	2,583333333	4,818181818	3,727272727	3,916666667	999	999	999	miss
114,519	2	06MD_4099	27	Alles l_uft wie immer	55	114519	keine	0	138	21	4	0,166666667	0,166666667	3,4	5	1,75	999	999	999	miss
122,547	2	06MD_4099	28	### ### ##### ### #### #####	77	122547	keine	0	203	28	6	9	9	9	9	9	9	9	9	miss
