onset	duration	Experiment - R6DVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,635	2	08Aw_4111	1	Er mag keine Suppe	99	1635	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
4,669	2	08Aw_4111	2	Er bekam sein Fett weg	99	4669	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
7,703	2	08Aw_4111	3	Er schweigt wie ein Grab	22	7703	keine	0	47	24	5	0,111111111	0,111111111	3,75	5,454545455	4	4,004517337	5,888888889	6,5	miss
10,736	2	08Aw_4111	4	Er ist Ÿber alle Berge	22	10736	keine	0	32	22	5	-0,222222222	0,222222222	3,25	5,636363636	2,272727273	3,915657047	3,875	7	miss
17,771	2	08Aw_4111	5	##### ##### #### ###### ##### ######## ###### ####	77	17771	keine	0	187	50	8	9	9	9	9	9	9	9	9	miss
20,8	2	08Aw_4111	6	## ##### ##### ##### ######	77	20800	keine	0	188	27	5	9	9	9	9	9	9	9	9	miss
24,834	2	08Aw_4111	7	Wurden dir soeben kleine Kreise gezeigt?	88	24834	Nein	2256	917	40	6	9	9	9	9	9	9	9	9	correct
30,868	2	08Aw_4111	8	Er dreht das Rad der Zeit zurŸck	22	30868	keine	0	44	32	7	0	0	3,625	4	1,909090909	3,570017449	5,111111111	7	miss
33,896	2	08Aw_4111	9	Er leidet sehr unter die Kritik seines Chefs	44	33896	keine	0	100	44	8	-2,083333333	2,083333333	5,727272727	3,636363636	3,833333333	999	999	999	miss
38,93	2	08Aw_4111	10	Es geht um tŠgliche Aufgaben	55	38930	keine	0	129	28	5	0	0	2,818181818	4,545454546	2,333333333	999	999	999	miss
41,97	2	08Aw_4111	11	## ##### ###### ##### #####	77	41970	keine	0	270	28	5	9	9	9	9	9	9	9	9	miss
45,003	2	08Aw_4111	12	Er ist dumm wie Brot	11	45003	keine	0	3	20	5	-2,222222222	2,222222222	4,25	6,1	1,818181818	3,81565291	4,222222222	7	miss
48,038	2	08Aw_4111	13	#### #### ###### ##### ####	77	48038	keine	0	182	27	5	9	9	9	9	9	9	9	9	miss
54,071	2	08Aw_4111	14	Es ist Jacke wie Hose	22	54071	keine	0	46	21	5	0,111111111	0,111111111	5,125	5,4	1,818181818	3,840995304	2,375	6,4	miss
57,106	2	08Aw_4111	15	Sie macht einen Vorschlag	55	57106	keine	0	122	25	4	-0,25	0,25	3,090909091	5,181818182	3,909090909	999	999	999	miss
61,14	2	08Aw_4111	16	Es hat sich nichts bei ihr verŠndert	55	61140	keine	0	121	36	7	-0,272727273	0,272727273	2,9	4,545454546	1,75	999	999	999	miss
64,168	2	08Aw_4111	17	Er ist krank geworden	44	64168	keine	0	93	21	4	-2,583333333	2,583333333	4,272727273	4,909090909	4,166666667	999	999	999	miss
67,202	2	08Aw_4111	18	Er hatte Schwierigkeiten damit	44	67202	keine	0	117	30	4	-1,166666667	1,166666667	4,727272727	5	1,916666667	999	999	999	miss
70,236	2	08Aw_4111	19	Er schwebt auf Wolke sieben	33	70236	keine	0	90	27	5	2,777777778	2,777777778	5	5,2	2,636363636	3,963158968	4,25	7	miss
76,27	2	08Aw_4111	20	Er ist daran verzweifelt	44	76270	keine	0	91	24	4	-2,666666667	2,666666667	5,545454546	5,636363636	1,916666667	999	999	999	miss
83,304	2	08Aw_4111	21	Er spaziert durch die Sonne	66	83304	keine	0	153	27	5	1,166666667	1,166666667	3,909090909	4,727272727	5,333333333	999	999	999	miss
90,333	2	08Aw_4111	22	Er wird den ganzen Tag in der Schule geŠrgert	44	90333	keine	0	92	45	9	-2,583333333	2,583333333	4,818181818	3,727272727	3,916666667	999	999	999	miss
