onset	duration	Experiment - R1AVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,628	2	05dp_4098	1	Sie hat etwas vor	99	1628	keine	0	271	17	4	9	9	9	9	9	9	9	9	miss
4,662	2	05dp_4098	2	Er mag keine Suppe	99	4662	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
7,696	2	05dp_4098	3	Sie holt fŸr ihn die Sterne vom Himmel	33	7696	keine	0	84	38	8	2,125	2,125	4,375	5,7	2,454545455	3,838892776	5,25	7	miss
12,729	2	05dp_4098	4	## ####### ##### #####	77	12729	keine	0	212	22	4	9	9	9	9	9	9	9	9	miss
18,77	2	05dp_4098	5	Er prŸgelte ihm die Seele aus dem Leib	11	18770	keine	0	1	38	8	-2,777777778	2,777777778	6	4,2	4,454545455	4,884848485	5,75	7	miss
24,804	2	05dp_4098	6	Er geht kaum noch aus dem Haus	44	24804	keine	0	118	30	7	-1	1	4,090909091	5,181818182	4,583333333	999	999	999	miss
29,839	2	05dp_4098	7	Mir fŠllt ein Stein vom Herzen	33	29839	keine	0	75	30	6	1,777777778	1,777777778	5,125	6,2	2,909090909	4,029881943	5,75	7	miss
32,878	2	05dp_4098	8	Bin ich erleichtert?	88	32878	keine	0	901	20	3	9	9	9	9	9	9	9	9	miss
37,918	2	05dp_4098	9	Er kriegte eine GŠnsehaut	22	37918	keine	0	31	25	4	-0,444444444	0,444444444	5,125	6,636363636	5,181818182	4,330756317	4,142857143	7	miss
40,952	2	05dp_4098	10	### #### ########	77	40952	keine	0	185	17	3	9	9	9	9	9	9	9	9	miss
43,985	2	05dp_4098	11	Sie stinkt vor Faulheit	11	43985	keine	0	4	23	4	-2,222222222	2,222222222	3,75	3,9	4,272727273	3,927592	4,666666667	5,5	miss
48,019	2	05dp_4098	12	### #### ##### ######## #### ###	77	48019	keine	0	186	32	6	9	9	9	9	9	9	9	9	miss
51,048	2	05dp_4098	13	Ihm ist †bel geworden	44	51048	keine	0	104	21	4	-1,916666667	1,916666667	4,727272727	4,636363636	4,75	999	999	999	miss
58,082	2	05dp_4098	14	Er fŸhrt Bšses im Schilde	11	58082	keine	0	8	25	5	-2,111111111	2,111111111	4	5,545454546	2,363636364	3,920169782	4,222222222	6,4	miss
63,111	2	05dp_4098	15	### ####### ##### #######	77	63111	keine	0	234	25	4	9	9	9	9	9	9	9	9	miss
67,151	2	05dp_4098	16	Er lŠsst sein Herz sprechen	33	67151	keine	0	65	27	5	1,444444444	1,444444444	4,125	4	3,090909091	3,875012971	5,333333333	7	miss
73,18	2	05dp_4098	17	Sie machen heute ein Picknick am Strand	66	73180	keine	0	177	39	7	2,166666667	2,166666667	4,363636364	4,636363636	5,5	999	999	999	miss
76,213	2	05dp_4098	18	Sie ist †berarbeitet	44	76213	keine	0	110	20	3	-1,75	1,75	5,090909091	5,090909091	3	999	999	999	miss
79,247	2	05dp_4098	19	Er ist bekannt wie ein bunter Hund	22	79247	keine	0	57	34	7	0,444444444	0,444444444	2,75	5,1	2,888888889	3,59094947	3,714285714	4,75	miss
84,281	2	05dp_4098	20	Sie ist nun ruhig	55	84281	keine	0	146	17	4	0,583333333	0,583333333	4	4,636363636	3,5	999	999	999	miss
91,321	2	05dp_4098	21	Springt sie wild herum?	88	91321	keine	0	902	23	4	9	9	9	9	9	9	9	9	miss
96,357	2	05dp_4098	22	## ### #### ###### ### ### ########## ##	77	96357	keine	0	250	40	7	9	9	9	9	9	9	9	9	miss
100,39	2	05dp_4098	23	Er nimmt es sich zu Herzen	22	100390	keine	0	34	26	6	-0,222222222	0,222222222	4,875	6,181818182	2,818181818	4,078186904	4,222222222	7	miss
103,419	2	05dp_4098	24	Sie ist ŸberglŸcklich deswegen	66	103419	keine	0	180	30	4	2,666666667	2,666666667	6,454545455	4,818181818	2,416666667	999	999	999	miss
106,453	2	05dp_4098	25	### ### ######### ### #####	77	106453	keine	0	249	27	5	9	9	9	9	9	9	9	9	miss
110,486	2	05dp_4098	26	Sie ist unfŠhig	44	110486	keine	0	106	15	3	-1,833333333	1,833333333	5,272727273	4	2,25	999	999	999	miss
114,515	2	05dp_4098	27	Sie erzŠhlt was passiert ist	55	114515	keine	0	130	28	5	0	0	3	5,727272727	4,916666667	999	999	999	miss
122,544	2	05dp_4098	28	## #### #### #######	77	122544	keine	0	220	20	4	9	9	9	9	9	9	9	9	miss
125,584	2	05dp_4098	29	Er redete mit Engelszungen	33	125584	keine	0	61	26	4	1,125	1,125	3,625	3,6	4,090909091	3,771969697	4,625	4,75	miss
129,619	2	05dp_4098	30	##### ##### ## ####### #### ########## ### ########	77	129619	keine	0	230	51	8	9	9	9	9	9	9	9	9	miss
132,647	2	05dp_4098	31	## ##### ## #### ### #####	77	132647	keine	0	228	26	6	9	9	9	9	9	9	9	9	miss
138,68	2	05dp_4098	32	Er grinst wie ein Honigkuchenpferd	33	138680	keine	0	73	34	5	1,666666667	1,666666667	3,875	4,545454546	4,545454546	4,048617879	3	7	miss
142,714	2	05dp_4098	33	Sie lag erschšpft im Bett	44	142714	keine	0	119	25	5	-0,833333333	0,833333333	4,636363636	5,454545455	5	999	999	999	miss
146,744	2	05dp_4098	34	Sie macht ihr die Hšlle hei¤	11	146744	keine	0	27	28	6	-1,666666667	1,666666667	5,125	5,272727273	3,909090909	4,086060651	5,111111111	7	miss
152,772	2	05dp_4098	35	Er grinst †ber beide Ohren	33	152772	keine	0	85	26	5	2,142857143	2,142857143	5	5,333333333	4,818181818	5,050505051	6,222222222	7	miss
160,807	2	05dp_4098	36	#### ##### ##### ### ########	77	160807	keine	0	235	29	5	9	9	9	9	9	9	9	9	miss
163,846	2	05dp_4098	37	Hast du soeben einen Satz gelesen?	88	163846	keine	0	903	34	6	9	9	9	9	9	9	9	9	miss
168,887	2	05dp_4098	38	#### ### ##### #### ####	77	168887	keine	0	231	24	5	9	9	9	9	9	9	9	9	miss
171,921	2	05dp_4098	39	Sie macht sich Sorgen um ihre Zukunft	44	171921	keine	0	101	37	7	-2,083333333	2,083333333	5,454545455	5,363636364	2,75	999	999	999	miss
177,954	2	05dp_4098	40	Er freundet sich mit ihm an	66	177954	keine	0	165	27	6	1,666666667	1,666666667	4,272727273	4,909090909	3,583333333	999	999	999	miss
181,989	2	05dp_4098	41	### ##### ##### ## ### ###### ####	77	181989	keine	0	209	34	7	9	9	9	9	9	9	9	9	miss
185,017	2	05dp_4098	42	Er kann das nicht mehr leiden	44	185017	keine	0	115	29	6	-1,25	1,25	4,6	4,454545455	2,416666667	999	999	999	miss
188,05	2	05dp_4098	43	Mag er das immernoch gerne?	88	188050	keine	0	904	27	5	9	9	9	9	9	9	9	9	miss
194,091	2	05dp_4098	44	## ##### ### ### ###### ### ######	77	194091	keine	0	225	34	7	9	9	9	9	9	9	9	9	miss
200,12	2	05dp_4098	45	Er merkt wie sich die Sachen entwickeln	55	200120	keine	0	147	39	7	0,583333333	0,583333333	3,7	4,636363636	2,5	999	999	999	miss
203,154	2	05dp_4098	46	Ist ihm die Entwicklung aufgefallen?	88	203154	keine	0	905	36	5	9	9	9	9	9	9	9	9	miss
209,194	2	05dp_4098	47	#### ###### ###### #######	77	209194	keine	0	256	26	4	9	9	9	9	9	9	9	9	miss
213,222	2	05dp_4098	48	Sie redet nicht um den hei§en Brei	22	213222	keine	0	33	34	7	-0,222222222	0,222222222	3,285714286	5,272727273	3,777777778	3,812515985	2,875	6,5	miss
216,25	2	05dp_4098	49	Sie holt sich den Tod	11	216250	keine	0	11	21	5	-2,111111111	2,111111111	4	5,545454546	2,545454546	3,908683056	5,142857143	7	miss
224,285	2	05dp_4098	50	Es ist Jacke wie Hose	22	224285	keine	0	46	21	5	0,111111111	0,111111111	5,125	5,4	1,818181818	3,840995304	2,375	6,4	miss
228,325	2	05dp_4098	51	Er hegt einen Traum	33	228325	keine	0	77	19	4	1,888888889	1,888888889	3,75	4,090909091	2,545454546	3,856068786	4,625	7	miss
232,354	2	05dp_4098	52	Sie denkt Ÿber die Vor- und Nachteile nach	55	232354	keine	0	134	42	8	0,166666667	0,166666667	3,4	4,818181818	2,416666667	999	999	999	miss
240,383	2	05dp_4098	53	Er benimmt sich wie ein Elefant im Porzellanladen	11	240383	keine	0	28	49	8	-1,666666667	1,666666667	4,125	5,4	3,363636364	4,014075192	5,714285714	7	miss
243,423	2	05dp_4098	54	## ##### ### ### #####	77	243423	keine	0	222	22	5	9	9	9	9	9	9	9	9	miss
250,457	2	05dp_4098	55	## ##### ##### ##### ######	77	250457	keine	0	188	27	5	9	9	9	9	9	9	9	9	miss
253,486	2	05dp_4098	56	Sie bricht ihm das Herz	11	253486	keine	0	7	23	5	-2,222222222	2,222222222	5,5	6,3	2,909090909	4,041178878	5	7	miss
257,52	2	05dp_4098	57	Sie hat die Weisheit mit Lšffeln gefressen	22	257520	keine	0	36	42	7	-0,222222222	0,222222222	3,5	5,2	3,090909091	3,947541587	4,625	7	miss
261,549	2	05dp_4098	58	### ##### ##### ##### ##### #### ### ##### ######	77	261549	keine	0	207	49	9	9	9	9	9	9	9	9	9	miss
264,576	2	05dp_4098	59	Er schwimmt im Geld	33	264576	keine	0	62	19	4	1,222222222	1,222222222	3	5,1	3,25	3,557714631	5,888888889	7	miss
267,611	2	05dp_4098	60	Sie freut sich auf den Urlaub	66	267611	keine	0	173	29	6	1,916666667	1,916666667	5	5,636363636	2,916666667	999	999	999	miss
