onset	duration	Experiment - R5CVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,627	2	03TB__4072	1	Es stšrt keinen gro§en Geist	99	1627	keine	0	274	28	5	9	9	9	9	9	9	9	9	miss
4,661	2	03TB__4072	2	Er bekam sein Fett weg	99	4661	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
7,695	2	03TB__4072	3	Wurde er kritisiert?	88	7695	Ja	1691	909	20	3	9	9	9	9	9	9	9	9	correct
13,735	2	03TB__4072	4	Er hat Schmetterlinge im Bauch	33	13735	keine	0	87	30	5	2,375	2,375	4,75	6	3,363636364	4,064976457	3,375	7	miss
16,763	2	03TB__4072	5	### ### ########## ##########	77	16763	keine	0	257	29	4	9	9	9	9	9	9	9	9	miss
22,797	2	03TB__4072	6	Er grinst Ÿber beide Ohren	33	22797	keine	0	85	26	5	2,142857143	2,142857143	5	5,333333333	4,818181818	5,050505051	6,222222222	7	miss
26,831	2	03TB__4072	7	Ist er sehr froh?	88	26831	Ja	1237	910	17	4	9	9	9	9	9	9	9	9	correct
33,866	2	03TB__4072	8	Es geht um tŠgliche Aufgaben	55	33866	keine	0	129	28	5	0	0	2,818181818	4,545454546	2,333333333	999	999	999	miss
36,906	2	03TB__4072	9	Er geht kaum noch aus dem Haus	44	36906	keine	0	118	30	7	-1	1	4,090909091	5,181818182	4,583333333	999	999	999	miss
39,939	2	03TB__4072	10	Verbringt er viel Zeit in der Natur?	88	39939	Nein	2227	911	36	7	9	9	9	9	9	9	9	9	correct
45,98	2	03TB__4072	11	Sie hat die Weisheit mit Lšffeln gefressen	22	45980	keine	0	36	42	7	-0,222222222	0,222222222	3,5	5,2	3,090909091	3,947541587	4,625	7	miss
49,008	2	03TB__4072	12	Sie schaffen das ganz gut	66	49008	keine	0	151	25	5	1,083333333	1,083333333	4,363636364	5,454545455	2,333333333	999	999	999	miss
56,042	2	03TB__4072	13	## ###### ###############	77	56042	keine	0	262	25	3	9	9	9	9	9	9	9	9	miss
60,072	2	03TB__4072	14	Er leidet sehr unter die Kritik seines Chefs	44	60072	keine	0	100	44	8	-2,083333333	2,083333333	5,727272727	3,636363636	3,833333333	999	999	999	miss
65,1	2	03TB__4072	15	#### ##### ##### ##### ####	77	65100	keine	0	237	27	5	9	9	9	9	9	9	9	9	miss
71,139	2	03TB__4072	16	Sie ist nur noch Haut und Knochen	11	71139	keine	0	12	33	7	-2	2	3,625	5,545454546	4	4,077898397	5,666666667	7	miss
75,174	2	03TB__4072	17	### ####### #### ### ######	77	75174	keine	0	211	27	5	9	9	9	9	9	9	9	9	miss
78,203	2	03TB__4072	18	####### ### ###### ######### ##### ####	77	78203	keine	0	183	39	6	9	9	9	9	9	9	9	9	miss
81,236	2	03TB__4072	19	Sie wird dafŸr hart bestraft	44	81236	keine	0	94	28	5	-2,5	2,5	5,727272727	3,545454546	3,583333333	999	999	999	miss
89,27	2	03TB__4072	20	### ### #### ##### ####	77	89270	keine	0	196	23	5	9	9	9	9	9	9	9	9	miss
97,311	2	03TB__4072	21	## ### ####### #######	77	97311	keine	0	242	22	4	9	9	9	9	9	9	9	9	miss
