onset	duration	Experiment - R6CVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,619	2	03TB__4072	1	Er mag keine Suppe	99	1619	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
4,653	2	03TB__4072	2	Sie ist sehr konzentriert	99	4653	keine	0	276	25	4	9	9	9	9	9	9	9	9	miss
7,687	2	03TB__4072	3	Es ist in aller Munde	22	7687	keine	0	55	21	5	0,333333333	0,333333333	3,25	5,4	2,888888889	3,696579703	4,75	7	miss
10,721	2	03TB__4072	4	Sie hŠlt ihre Zunge im Zaum	22	10721	keine	0	48	27	6	0,111111111	0,111111111	2,75	4,7	3,454545455	3,802867848	5,125	6,25	miss
17,755	2	03TB__4072	5	### #### ### ##### ######## ##	77	17755	keine	0	253	30	6	9	9	9	9	9	9	9	9	miss
20,784	2	03TB__4072	6	### ### #### ### #####	77	20784	keine	0	214	22	5	9	9	9	9	9	9	9	9	miss
24,818	2	03TB__4072	7	Wurde dir soeben ein Satz prŠsentiert?	88	24818	Nein	1679	917	38	6	9	9	9	9	9	9	9	9	correct
30,851	2	03TB__4072	8	Er spitzte die Ohren	22	30851	keine	0	59	20	4	0,444444444	0,444444444	3,625	5,5	5,181818182	4,096573349	4	7	miss
33,88	2	03TB__4072	9	Ihm ist Ÿbel geworden	44	33880	keine	0	104	21	4	-1,916666667	1,916666667	4,727272727	4,636363636	4,75	999	999	999	miss
38,914	2	03TB__4072	10	Er merkt wie sich die Sachen entwickeln	55	38914	keine	0	147	39	7	0,583333333	0,583333333	3,7	4,636363636	2,5	999	999	999	miss
41,954	2	03TB__4072	11	## #### ##### ##########	77	41954	keine	0	221	24	4	9	9	9	9	9	9	9	9	miss
44,987	2	03TB__4072	12	Sie holt sich den Tod	11	44987	keine	0	11	21	5	-2,111111111	2,111111111	4	5,545454546	2,545454546	3,908683056	5,142857143	7	miss
48,022	2	03TB__4072	13	## ### ###### ######	77	48022	keine	0	208	20	4	9	9	9	9	9	9	9	9	miss
54,056	2	03TB__4072	14	Er hat es faustdick hinter den Ohren	22	54056	keine	0	40	36	7	-0,111111111	0,111111111	3,428571429	5,454545455	2	3,673057713	2,777777778	7	miss
57,09	2	03TB__4072	15	Es ist nicht so schwierig	55	57090	keine	0	145	25	5	0,5	0,5	3,727272727	4,727272727	2,083333333	999	999	999	miss
61,124	2	03TB__4072	16	Es war ein ganz normaler Tag	55	61124	keine	0	125	28	6	-0,083333333	0,083333333	2,9	5,4	1,75	999	999	999	miss
64,152	2	03TB__4072	17	Sie Šrgert sich Ÿber ihren Vorgesetzten	44	64152	keine	0	109	39	6	-1,75	1,75	5	4	4,416666667	999	999	999	miss
67,186	2	03TB__4072	18	Sie ist schlechter Stimmung	44	67186	keine	0	113	27	4	-1,583333333	1,583333333	5	4,545454546	2,916666667	999	999	999	miss
70,221	2	03TB__4072	19	Er folgt der Stimme seines Herzens	33	70221	keine	0	81	34	6	2	2	4,142857143	5,2	2,818181818	3,821729672	5,111111111	7	miss
76,254	2	03TB__4072	20	Er ist daran verzweifelt	44	76254	keine	0	91	24	4	-2,666666667	2,666666667	5,545454546	5,636363636	1,916666667	999	999	999	miss
83,289	2	03TB__4072	21	Sie reagierte enthusiastisch auf den Vorschlag	66	83289	keine	0	160	46	6	1,5	1,5	5,545454546	3,818181818	3,916666667	999	999	999	miss
90,318	2	03TB__4072	22	Sie lag erschšpft im Bett	44	90318	keine	0	119	25	5	-0,833333333	0,833333333	4,636363636	5,454545455	5	999	999	999	miss
94,347	2	03TB__4072	23	Er prŸgelte ihm die Seele aus dem Leib	11	94347	keine	0	1	38	8	-2,777777778	2,777777778	6	4,2	4,454545455	4,884848485	5,75	7	miss
97,376	2	03TB__4072	24	## ### ### ### ### ### ####### ##	77	97376	keine	0	217	33	8	9	9	9	9	9	9	9	9	miss
100,41	2	03TB__4072	25	Hast du soeben viele Rautezeichen gesehen?	88	100410	Ja	2087	918	42	6	9	9	9	9	9	9	9	9	correct
107,449	2	03TB__4072	26	Er ist ein anstrengender Mensch	44	107449	keine	0	111	31	5	-1,75	1,75	5	5,454545455	2,75	999	999	999	miss
110,489	2	03TB__4072	27	### ##### ##### ### ### ## ######	77	110489	keine	0	219	33	7	9	9	9	9	9	9	9	9	miss
116,523	2	03TB__4072	28	Er ist Feuer und Flamme	33	116523	keine	0	82	23	5	2,111111111	2,111111111	4,285714286	5,7	3,272727273	3,844404201	3,125	7	miss
123,558	2	03TB__4072	29	Er gewinnt neues Selbstvertrauen	66	123558	keine	0	169	32	4	1,833333333	1,833333333	5,272727273	4,363636364	2,583333333	999	999	999	miss
