onset	duration	Experiment - R5DVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,623	2	12AF_412312	1	Sie hat etwas vor	99	1623	keine	0	271	17	4	9	9	9	9	9	9	9	9	miss
4,658	2	12AF_412312	2	Es stšrt keinen gro§en Geist	99	4658	keine	0	274	28	5	9	9	9	9	9	9	9	9	miss
7,691	2	12AF_412312	3	Stšrt es jemanden?	88	7691	Nein	1911	909	18	3	9	9	9	9	9	9	9	9	correct
13,731	2	12AF_412312	4	Sie eroberte sein Herz	33	13731	keine	0	80	22	4	2	2	5,125	5,545454546	2,4	3,894545162	5,777777778	6,4	miss
16,76	2	12AF_412312	5	### ####### #### ##### #### ############	77	16760	keine	0	245	40	6	9	9	9	9	9	9	9	9	miss
22,793	2	12AF_412312	6	Es ist eine Augenweide	33	22793	keine	0	76	22	4	1,777777778	1,777777778	3,857142857	5,6	2,625	3,563778739	3,222222222	7	miss
26,828	2	12AF_412312	7	Ist es schšn anzusehen?	88	26828	Ja	2576	910	23	4	9	9	9	9	9	9	9	9	correct
33,862	2	12AF_412312	8	Sie bekommt einen Auftrag	55	33862	keine	0	140	25	4	0,25	0,25	4	4,363636364	3,5	999	999	999	miss
36,902	2	12AF_412312	9	Ihm ist Ÿbel geworden	44	36902	keine	0	104	21	4	-1,916666667	1,916666667	4,727272727	4,636363636	4,75	999	999	999	miss
39,936	2	12AF_412312	10	Er kommt Ÿber die Runden	22	39936	keine	0	39	24	5	-0,111111111	0,111111111	2,25	5,7	1,333333333	3,314000988	3,375	7	miss
43,97	2	12AF_412312	11	Sie reagierte enthusiastisch auf den Vorschlag	66	43970	keine	0	160	46	6	1,5	1,5	5,545454546	3,818181818	3,916666667	999	999	999	miss
46,999	2	12AF_412312	12	### ##### ##### ## ### ###### ####	77	46999	keine	0	209	34	7	9	9	9	9	9	9	9	9	miss
54,032	2	12AF_412312	13	Sie ist schlechter Stimmung	44	54032	keine	0	113	27	4	-1,583333333	1,583333333	5	4,545454546	2,916666667	999	999	999	miss
58,061	2	12AF_412312	14	Ist sie fršhlich?	88	58061	Nein	1801	911	17	3	9	9	9	9	9	9	9	9	correct
65,096	2	12AF_412312	15	### ####### ###### ########### ##	77	65096	keine	0	269	33	5	9	9	9	9	9	9	9	9	miss
71,135	2	12AF_412312	16	Er ist eine falsche Schlange	11	71135	keine	0	6	28	5	-2,222222222	2,222222222	4,375	4,9	2	3,858075672	4	7	miss
75,17	2	12AF_412312	17	### ### #########	77	75170	keine	0	247	17	3	9	9	9	9	9	9	9	9	miss
