onset	duration	Experiment - R3BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,62	2	14pb_413812	1	Sie ist sehr konzentriert	99	1620	keine	0	276	25	4	9	9	9	9	9	9	9	9	miss
4,654	2	14pb_413812	2	Es hat viel damit zu tun	99	4654	keine	0	273	24	6	9	9	9	9	9	9	9	9	miss
7,688	2	14pb_413812	3	Sie macht sich Sorgen um ihre Zukunft	44	7688	keine	0	101	37	7	-2,083333333	2,083333333	5,454545455	5,363636364	2,75	999	999	999	miss
12,721	2	14pb_413812	4	## ##### ## #### ### #####	77	12721	keine	0	228	26	6	9	9	9	9	9	9	9	9	miss
18,761	2	14pb_413812	5	Das ist eine traurige Geschichte	44	18761	keine	0	108	32	5	-1,833333333	1,833333333	5,181818182	4,727272727	2,5	999	999	999	miss
24,796	2	14pb_413812	6	Er folgt der Stimme seines Herzens	33	24796	keine	0	81	34	6	2	2	4,142857143	5,2	2,818181818	3,821729672	5,111111111	7	miss
29,83	2	14pb_413812	7	Er genie§t die Gesellschaft	66	29830	keine	0	176	27	4	2	2	5	5,181818182	3,333333333	999	999	999	miss
32,87	2	14pb_413812	8	Er benimmt sich wie ein Elefant im Porzellanladen	11	32870	keine	0	28	49	8	-1,666666667	1,666666667	4,125	5,4	3,363636364	4,014075192	5,714285714	7	miss
35,904	2	14pb_413812	9	Er kann das nicht mehr leiden	44	35904	keine	0	115	29	6	-1,25	1,25	4,6	4,454545455	2,416666667	999	999	999	miss
38,937	2	14pb_413812	10	Er feuerte ihn	11	38937	keine	0	10	14	3	-2,111111111	2,111111111	4,875	6,636363636	3,555555556	4,003443973	2,75	5,8	miss
41,971	2	14pb_413812	11	Wurde ihm gekŸndigt?	88	41971	keine	0	909	20	3	9	9	9	9	9	9	9	9	miss
48,011	2	14pb_413812	12	Sie lag erschšpft im Bett	44	48011	keine	0	119	25	5	-0,833333333	0,833333333	4,636363636	5,454545455	5	999	999	999	miss
51,04	2	14pb_413812	13	### ######### #### ########### ### ### ######	77	51040	keine	0	260	45	7	9	9	9	9	9	9	9	9	miss
58,073	2	14pb_413812	14	Sie genie§t ihre Freizeit	66	58073	keine	0	164	25	4	1,666666667	1,666666667	5,090909091	5,909090909	2,916666667	999	999	999	miss
63,103	2	14pb_413812	15	Er ist total zufrieden mit sich	66	63103	keine	0	179	31	6	2,583333333	2,583333333	5,545454546	4,818181818	2,833333333	999	999	999	miss
