onset	duration	Experiment - R2BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,632	2	14pb_413812	1	Er bekam sein Fett weg	99	1632	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
4,666	2	14pb_413812	2	Er mag keine Suppe	99	4666	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
7,7	2	14pb_413812	3	Er fŸhlt sich entspannt und locker	66	7700	keine	0	162	34	6	1,583333333	1,583333333	4,090909091	4,818181818	3,416666667	999	999	999	miss
12,734	2	14pb_413812	4	Ist er innerlich angespannt?	88	12734	Ja	3345	917	28	4	9	9	9	9	9	9	9	9	incorrect
20,783	2	14pb_413812	5	Sie macht einen Vorschlag	55	20783	keine	0	122	25	4	-0,25	0,25	3,090909091	5,181818182	3,909090909	999	999	999	miss
26,814	2	14pb_413812	6	#### ##### #### #####	77	26814	keine	0	184	21	4	9	9	9	9	9	9	9	9	miss
31,848	2	14pb_413812	7	Sie reagierte enthusiastisch auf den Vorschlag	66	31848	keine	0	160	46	6	1,5	1,5	5,545454546	3,818181818	3,916666667	999	999	999	miss
34,887	2	14pb_413812	8	Sie ist fit wie ein Turnschuh	33	34887	keine	0	86	29	6	2,333333333	2,333333333	3,375	6,090909091	3,272727273	3,936479301	5,25	6,5	miss
37,922	2	14pb_413812	9	Ihr lŠuft die Galle Ÿber	11	37922	keine	0	13	24	5	-2	2	4,285714286	3,333333333	3,454545455	3,691197691	3,125	3,625	miss
40,956	2	14pb_413812	10	Er bringt sie zur Wei§glut	11	40956	keine	0	16	26	5	-1,888888889	1,888888889	5,75	5,8	2,666666667	3,780924393	3,571428571	7	miss
43,99	2	14pb_413812	11	#### ###### ###### #######	77	43990	keine	0	256	26	4	9	9	9	9	9	9	9	9	miss
48,024	2	14pb_413812	12	Sie bespricht die Angelegenheit mit ihren Kollegen	55	48024	keine	0	126	50	7	0	0	3,181818182	5,181818182	5,363636364	999	999	999	miss
51,052	2	14pb_413812	13	Sie stinkt vor Faulheit	11	51052	keine	0	4	23	4	-2,222222222	2,222222222	3,75	3,9	4,272727273	3,927592	4,666666667	5,5	miss
58,086	2	14pb_413812	14	Sie ist davon verwirrt	44	58086	keine	0	116	22	4	-1,166666667	1,166666667	4,363636364	5,545454546	2,666666667	999	999	999	miss
63,115	2	14pb_413812	15	Er gewinnt neues Selbstvertrauen	66	63115	keine	0	169	32	4	1,833333333	1,833333333	5,272727273	4,363636364	2,583333333	999	999	999	miss
67,155	2	14pb_413812	16	##### ##### ##### ##### #### ####	77	67155	keine	0	189	33	6	9	9	9	9	9	9	9	9	miss
73,183	2	14pb_413812	17	Sie Šrgert sich Ÿber ihren Vorgesetzten	44	73183	keine	0	109	39	6	-1,75	1,75	5	4	4,416666667	999	999	999	miss
76,218	2	14pb_413812	18	€rgert sie sich Ÿber ihre Schwester?	88	76218	Ja	2080	918	36	6	9	9	9	9	9	9	9	9	incorrect
81,257	2	14pb_413812	19	Er kommt Ÿber die Runden	22	81257	keine	0	39	24	5	-0,111111111	0,111111111	2,25	5,7	1,333333333	3,314000988	3,375	7	miss
86,29	2	14pb_413812	20	Sie redet Klartext	22	86290	keine	0	58	18	3	0,444444444	0,444444444	4,25	6,1	4,818181818	4,1943856	5,666666667	7	miss
93,331	2	14pb_413812	21	### ### #########	77	93331	keine	0	247	17	3	9	9	9	9	9	9	9	9	miss
96,361	2	14pb_413812	22	### ###### ##### ######## #########	77	96361	keine	0	263	35	5	9	9	9	9	9	9	9	9	miss
100,394	2	14pb_413812	23	Sie baut Luftschlšsser	22	100394	keine	0	37	22	3	-0,125	0,125	3,75	4,1	2,181818182	3,684456299	5,375	7	miss
103,422	2	14pb_413812	24	Er ist bis Ÿber beide Ohren verliebt	33	103422	keine	0	88	36	7	2,555555556	2,555555556	5,5	6	2,727272727	4,021927447	4,125	7	miss
106,456	2	14pb_413812	25	Er ist krank geworden	44	106456	keine	0	93	21	4	-2,583333333	2,583333333	4,272727273	4,909090909	4,166666667	999	999	999	miss
110,49	2	14pb_413812	26	Alles ist in Ordnung	66	110490	keine	0	155	20	4	1,25	1,25	3,727272727	5,454545455	1,916666667	999	999	999	miss
114,519	2	14pb_413812	27	Er spaziert durch die Sonne	66	114519	keine	0	153	27	5	1,166666667	1,166666667	3,909090909	4,727272727	5,333333333	999	999	999	miss
