onset	duration	Experiment - R1BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,625	2	14pb_413812	1	Es st_rt keinen gro¤en Geist	99	1625	keine	0	274	28	5	9	9	9	9	9	9	9	9	miss
4,658	2	14pb_413812	2	Sie hat etwas vor	99	4658	keine	0	271	17	4	9	9	9	9	9	9	9	9	miss
7,692	2	14pb_413812	3	Er steht im Zenit seines Lebens	33	7692	keine	0	71	31	6	1,666666667	1,666666667	3,625	3	2,727272727	3,675413869	4,875	5,5	miss
12,726	2	14pb_413812	4	### ### ##### #########	77	12726	keine	0	227	23	4	9	9	9	9	9	9	9	9	miss
18,766	2	14pb_413812	5	Sie geht an die Decke	11	18766	keine	0	23	21	5	-1,777777778	1,777777778	5,25	5,8	2,9	3,877562694	3,375	7	miss
24,8	2	14pb_413812	6	Das war eine schwierige Entscheidung	44	24800	keine	0	120	36	5	-0,363636364	0,363636364	5	5,909090909	2,166666667	999	999	999	miss
29,835	2	14pb_413812	7	Sie holt fÙr ihn die Sterne vom Himmel	33	29835	keine	0	84	38	8	2,125	2,125	4,375	5,7	2,454545455	3,838892776	5,25	7	miss
32,874	2	14pb_413812	8	BemÙht sie sich fÙr ihn?	88	32874	keine	0	901	24	5	9	9	9	9	9	9	9	9	miss
37,914	2	14pb_413812	9	Sie setzen ihn auf freien Fu¤	22	37914	keine	0	49	29	6	0,222222222	0,222222222	3	5,1	2,222222222	3,505876556	3,777777778	7	miss
40,948	2	14pb_413812	10	## #### ##### ##########	77	40948	keine	0	221	24	4	9	9	9	9	9	9	9	9	miss
43,982	2	14pb_413812	11	Er hat bei ihm verspielt	11	43982	keine	0	25	24	5	-1,777777778	1,777777778	4,375	4,818181818	2,363636364	3,915117004	4	7	miss
48,015	2	14pb_413812	12	#### ## ### ##### ######	77	48015	keine	0	232	24	5	9	9	9	9	9	9	9	9	miss
51,044	2	14pb_413812	13	Er ist Ùberheblich	44	51044	keine	0	102	18	3	-2	2	4,909090909	4,818181818	2,5	999	999	999	miss
58,082	2	14pb_413812	14	Sie sieht alles schwarz	11	58082	keine	0	2	23	4	-2,222222222	2,222222222	3,875	5,454545455	3,727272727	4,079161024	4,888888889	6,7	miss
63,123	2	14pb_413812	15	## ### ##### ############	77	63123	keine	0	194	25	4	9	9	9	9	9	9	9	9	miss
67,164	2	14pb_413812	16	Es passt wie die Faust aufs Auge	33	67164	keine	0	68	32	7	1,666666667	1,666666667	3	5,9	2,9	3,753424585	4	7	miss
73,192	2	14pb_413812	17	Sie schl_ft gut	66	73192	keine	0	168	15	3	1,833333333	1,833333333	4,454545455	5,272727273	4,916666667	999	999	999	miss
76,226	2	14pb_413812	18	Er fÙhlt sich nicht wohl	44	76226	keine	0	107	24	5	-1,833333333	1,833333333	4,727272727	5,181818182	2,75	999	999	999	miss
79,26	2	14pb_413812	19	Sie redet nicht um den hei¤en Brei	22	79260	keine	0	33	34	7	-0,222222222	0,222222222	3,285714286	5,272727273	3,777777778	3,812515985	2,875	6,5	miss
84,294	2	14pb_413812	20	Sie haben einen Bericht geschrieben	55	84294	keine	0	132	35	5	0,083333333	0,083333333	2,909090909	5,090909091	4,583333333	999	999	999	miss
91,334	2	14pb_413812	21	Haben Sie einen Film gedreht?	88	91334	Ja	2838	902	29	5	9	9	9	9	9	9	9	9	incorrect
96,369	2	14pb_413812	22	### ##### ### ####### ####	77	96369	keine	0	226	26	5	9	9	9	9	9	9	9	9	miss
100,402	2	14pb_413812	23	Er schweigt wie ein Grab	22	100402	keine	0	47	24	5	0,111111111	0,111111111	3,75	5,454545455	4	4,004517337	5,888888889	6,5	miss
103,431	2	14pb_413812	24	Sie verwirklicht nun ihren Wunsch	66	103431	keine	0	178	33	5	2,166666667	2,166666667	5,363636364	4	2,333333333	999	999	999	miss
106,464	2	14pb_413812	25	### ### ##### #############	77	106464	keine	0	238	27	4	9	9	9	9	9	9	9	9	miss
110,499	2	14pb_413812	26	Er wird den ganzen Tag in der Schule ge_rgert	44	110499	keine	0	92	45	9	-2,583333333	2,583333333	4,818181818	3,727272727	3,916666667	999	999	999	miss
