onset	duration	Experiment - R1AVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,63	2	21as_414812	1	Sie hat etwas vor	99	1630	keine	0	271	17	4	9	9	9	9	9	9	9	9	miss
4,664	2	21as_414812	2	Er mag keine Suppe	99	4664	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
7,698	2	21as_414812	3	Sie holt fŸr ihn die Sterne vom Himmel	33	7698	keine	0	84	38	8	2,125	2,125	4,375	5,7	2,454545455	3,838892776	5,25	7	miss
12,731	2	21as_414812	4	## ####### ##### #####	77	12731	keine	0	212	22	4	9	9	9	9	9	9	9	9	miss
18,771	2	21as_414812	5	Er prŸgelte ihm die Seele aus dem Leib	11	18771	keine	0	1	38	8	-2,777777778	2,777777778	6	4,2	4,454545455	4,884848485	5,75	7	miss
24,806	2	21as_414812	6	Er geht kaum noch aus dem Haus	44	24806	keine	0	118	30	7	-1	1	4,090909091	5,181818182	4,583333333	999	999	999	miss
29,84	2	21as_414812	7	Mir fŠllt ein Stein vom Herzen	33	29840	keine	0	75	30	6	1,777777778	1,777777778	5,125	6,2	2,909090909	4,029881943	5,75	7	miss
32,879	2	21as_414812	8	Bin ich erleichtert?	88	32879	keine	0	901	20	3	9	9	9	9	9	9	9	9	miss
37,919	2	21as_414812	9	Er kriegte eine GŠnsehaut	22	37919	keine	0	31	25	4	-0,444444444	0,444444444	5,125	6,636363636	5,181818182	4,330756317	4,142857143	7	miss
40,953	2	21as_414812	10	### #### ########	77	40953	keine	0	185	17	3	9	9	9	9	9	9	9	9	miss
43,987	2	21as_414812	11	Sie stinkt vor Faulheit	11	43987	keine	0	4	23	4	-2,222222222	2,222222222	3,75	3,9	4,272727273	3,927592	4,666666667	5,5	miss
48,02	2	21as_414812	12	### #### ##### ######## #### ###	77	48020	keine	0	186	32	6	9	9	9	9	9	9	9	9	miss
51,049	2	21as_414812	13	Ihm ist †bel geworden	44	51049	keine	0	104	21	4	-1,916666667	1,916666667	4,727272727	4,636363636	4,75	999	999	999	miss
58,083	2	21as_414812	14	Er fŸhrt Bšses im Schilde	11	58083	keine	0	8	25	5	-2,111111111	2,111111111	4	5,545454546	2,363636364	3,920169782	4,222222222	6,4	miss
63,112	2	21as_414812	15	### ####### ##### #######	77	63112	keine	0	234	25	4	9	9	9	9	9	9	9	9	miss
67,152	2	21as_414812	16	Er lŠsst sein Herz sprechen	33	67152	keine	0	65	27	5	1,444444444	1,444444444	4,125	4	3,090909091	3,875012971	5,333333333	7	miss
73,181	2	21as_414812	17	Sie machen heute ein Picknick am Strand	66	73181	keine	0	177	39	7	2,166666667	2,166666667	4,363636364	4,636363636	5,5	999	999	999	miss
76,215	2	21as_414812	18	Sie ist †berarbeitet	44	76215	keine	0	110	20	3	-1,75	1,75	5,090909091	5,090909091	3	999	999	999	miss
79,248	2	21as_414812	19	Er ist bekannt wie ein bunter Hund	22	79248	keine	0	57	34	7	0,444444444	0,444444444	2,75	5,1	2,888888889	3,59094947	3,714285714	4,75	miss
84,282	2	21as_414812	20	Sie ist nun ruhig	55	84282	keine	0	146	17	4	0,583333333	0,583333333	4	4,636363636	3,5	999	999	999	miss
91,322	2	21as_414812	21	Springt sie wild herum?	88	91322	keine	0	902	23	4	9	9	9	9	9	9	9	9	miss
96,358	2	21as_414812	22	## ### #### ###### ### ### ########## ##	77	96358	keine	0	250	40	7	9	9	9	9	9	9	9	9	miss
100,391	2	21as_414812	23	Er nimmt es sich zu Herzen	22	100391	keine	0	34	26	6	-0,222222222	0,222222222	4,875	6,181818182	2,818181818	4,078186904	4,222222222	7	miss
103,42	2	21as_414812	24	Sie ist ŸberglŸcklich deswegen	66	103420	keine	0	180	30	4	2,666666667	2,666666667	6,454545455	4,818181818	2,416666667	999	999	999	miss
106,454	2	21as_414812	25	### ### ######### ### #####	77	106454	keine	0	249	27	5	9	9	9	9	9	9	9	9	miss
110,487	2	21as_414812	26	Sie ist unfŠhig	44	110487	keine	0	106	15	3	-1,833333333	1,833333333	5,272727273	4	2,25	999	999	999	miss
114,516	2	21as_414812	27	Sie erzŠhlt was passiert ist	55	114516	keine	0	130	28	5	0	0	3	5,727272727	4,916666667	999	999	999	miss
122,544	2	21as_414812	28	## #### #### #######	77	122544	keine	0	220	20	4	9	9	9	9	9	9	9	9	miss
125,585	2	21as_414812	29	Er redete mit Engelszungen	33	125585	keine	0	61	26	4	1,125	1,125	3,625	3,6	4,090909091	3,771969697	4,625	4,75	miss
129,619	2	21as_414812	30	##### ##### ## ####### #### ########## ### ########	77	129619	keine	0	230	51	8	9	9	9	9	9	9	9	9	miss
132,647	2	21as_414812	31	## ##### ## #### ### #####	77	132647	keine	0	228	26	6	9	9	9	9	9	9	9	9	miss
138,681	2	21as_414812	32	Er grinst wie ein Honigkuchenpferd	33	138681	keine	0	73	34	5	1,666666667	1,666666667	3,875	4,545454546	4,545454546	4,048617879	3	7	miss
142,714	2	21as_414812	33	Sie lag erschšpft im Bett	44	142714	keine	0	119	25	5	-0,833333333	0,833333333	4,636363636	5,454545455	5	999	999	999	miss
146,744	2	21as_414812	34	Sie macht ihr die Hšlle hei¤	11	146744	keine	0	27	28	6	-1,666666667	1,666666667	5,125	5,272727273	3,909090909	4,086060651	5,111111111	7	miss
152,773	2	21as_414812	35	Er grinst †ber beide Ohren	33	152773	keine	0	85	26	5	2,142857143	2,142857143	5	5,333333333	4,818181818	5,050505051	6,222222222	7	miss
160,807	2	21as_414812	36	#### ##### ##### ### ########	77	160807	keine	0	235	29	5	9	9	9	9	9	9	9	9	miss
163,847	2	21as_414812	37	Hast du soeben einen Satz gelesen?	88	163847	keine	0	903	34	6	9	9	9	9	9	9	9	9	miss
168,887	2	21as_414812	38	#### ### ##### #### ####	77	168887	keine	0	231	24	5	9	9	9	9	9	9	9	9	miss
171,921	2	21as_414812	39	Sie macht sich Sorgen um ihre Zukunft	44	171921	keine	0	101	37	7	-2,083333333	2,083333333	5,454545455	5,363636364	2,75	999	999	999	miss
177,955	2	21as_414812	40	Er freundet sich mit ihm an	66	177955	keine	0	165	27	6	1,666666667	1,666666667	4,272727273	4,909090909	3,583333333	999	999	999	miss
181,99	2	21as_414812	41	### ##### ##### ## ### ###### ####	77	181990	keine	0	209	34	7	9	9	9	9	9	9	9	9	miss
185,018	2	21as_414812	42	Er kann das nicht mehr leiden	44	185018	keine	0	115	29	6	-1,25	1,25	4,6	4,454545455	2,416666667	999	999	999	miss
188,051	2	21as_414812	43	Mag er das immernoch gerne?	88	188051	keine	0	904	27	5	9	9	9	9	9	9	9	9	miss
194,091	2	21as_414812	44	## ##### ### ### ###### ### ######	77	194091	keine	0	225	34	7	9	9	9	9	9	9	9	9	miss
200,12	2	21as_414812	45	Er merkt wie sich die Sachen entwickeln	55	200120	keine	0	147	39	7	0,583333333	0,583333333	3,7	4,636363636	2,5	999	999	999	miss
203,154	2	21as_414812	46	Ist ihm die Entwicklung aufgefallen?	88	203154	keine	0	905	36	5	9	9	9	9	9	9	9	9	miss
209,194	2	21as_414812	47	#### ###### ###### #######	77	209194	keine	0	256	26	4	9	9	9	9	9	9	9	9	miss
213,222	2	21as_414812	48	Sie redet nicht um den hei§en Brei	22	213222	keine	0	33	34	7	-0,222222222	0,222222222	3,285714286	5,272727273	3,777777778	3,812515985	2,875	6,5	miss
216,251	2	21as_414812	49	Sie holt sich den Tod	11	216251	keine	0	11	21	5	-2,111111111	2,111111111	4	5,545454546	2,545454546	3,908683056	5,142857143	7	miss
224,285	2	21as_414812	50	Es ist Jacke wie Hose	22	224285	keine	0	46	21	5	0,111111111	0,111111111	5,125	5,4	1,818181818	3,840995304	2,375	6,4	miss
228,325	2	21as_414812	51	Er hegt einen Traum	33	228325	keine	0	77	19	4	1,888888889	1,888888889	3,75	4,090909091	2,545454546	3,856068786	4,625	7	miss
232,354	2	21as_414812	52	Sie denkt Ÿber die Vor- und Nachteile nach	55	232354	keine	0	134	42	8	0,166666667	0,166666667	3,4	4,818181818	2,416666667	999	999	999	miss
