onset	duration	Experiment - R2AVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,623	2	21as_414812	1	Es hat viel damit zu tun	99	1623	keine	0	273	24	6	9	9	9	9	9	9	9	9	miss
4,657	2	21as_414812	2	Es st_rt keinen gro¤en Geist	99	4657	keine	0	274	28	5	9	9	9	9	9	9	9	9	miss
7,691	2	21as_414812	3	Er hat im Lotto gewonnen	66	7691	keine	0	174	24	5	2	2	5,636363636	4,181818182	4,25	999	999	999	miss
12,725	2	21as_414812	4	Hat er die richtigen Zahlen gew_hlt?	88	12725	Ja	2400	917	36	6	9	9	9	9	9	9	9	9	correct
20,771	2	21as_414812	5	Es war ein ganz normaler Tag	55	20771	keine	0	125	28	6	-0,083333333	0,083333333	2,9	5,4	1,75	999	999	999	miss
26,805	2	21as_414812	6	#### ##### ##### ##### ####	77	26805	keine	0	237	27	5	9	9	9	9	9	9	9	9	miss
31,839	2	21as_414812	7	Sie verwirklicht nun ihren Wunsch	66	31839	keine	0	178	33	5	2,166666667	2,166666667	5,363636364	4	2,333333333	999	999	999	miss
34,878	2	21as_414812	8	Er folgt der Stimme seines Herzens	33	34878	keine	0	81	34	6	2	2	4,142857143	5,2	2,818181818	3,821729672	5,111111111	7	miss
37,913	2	21as_414812	9	Er bringt sie zur Wei¤glut	11	37913	keine	0	16	26	5	-1,888888889	1,888888889	5,75	5,8	2,666666667	3,780924393	3,571428571	7	miss
40,947	2	21as_414812	10	Er ist eine falsche Schlange	11	40947	keine	0	6	28	5	-2,222222222	2,222222222	4,375	4,9	2	3,858075672	4	7	miss
43,981	2	21as_414812	11	##### ##### #### ###### ##### ######## ###### ####	77	43981	keine	0	187	50	8	9	9	9	9	9	9	9	9	miss
48,014	2	21as_414812	12	Er erinnert sich an die letzte Woche	55	48014	keine	0	141	36	7	0,272727273	0,272727273	3	4,636363636	2,090909091	999	999	999	miss
51,043	2	21as_414812	13	Sie ist ihr ein Dorn im Auge	11	51043	keine	0	17	28	7	-1,888888889	1,888888889	3,857142857	5,5	3	3,837884849	4,75	5,714285714	miss
58,076	2	21as_414812	14	Er ist Ùberheblich	44	58076	keine	0	102	18	3	-2	2	4,909090909	4,818181818	2,5	999	999	999	miss
63,106	2	21as_414812	15	Das war eine sch_ne Erinnerung	66	63106	keine	0	166	30	5	1,75	1,75	5	5,363636364	2,166666667	999	999	999	miss
67,146	2	21as_414812	16	### ###### ### ##### ###	77	67146	keine	0	200	24	5	9	9	9	9	9	9	9	9	miss
73,175	2	21as_414812	17	Er leidet sehr unter der Kritik seines Chefs	44	73175	keine	0	100	44	8	-2,083333333	2,083333333	5,727272727	3,636363636	3,833333333	999	999	999	miss
76,209	2	21as_414812	18	Hat ihn seine Arbeitskollegin kritisiert?	88	76209	Nein	2496	918	41	5	9	9	9	9	9	9	9	9	correct
81,247	2	21as_414812	19	Sie ist z_h wie Leder	22	81247	keine	0	50	21	5	0,222222222	0,222222222	3,25	3,4	3,363636364	3,760535501	6,444444444	5,166666667	miss
86,282	2	21as_414812	20	Sie tr_gt das Herz auf der Zunge	22	86282	keine	0	56	32	7	0,333333333	0,333333333	4	3,727272727	3,363636364	3,820586099	4,333333333	6	miss
93,322	2	21as_414812	21	#### ## ### ##### ######	77	93322	keine	0	232	24	5	9	9	9	9	9	9	9	9	miss
96,349	2	21as_414812	22	### #### #### ### ######	77	96349	keine	0	193	24	5	9	9	9	9	9	9	9	9	miss
100,385	2	21as_414812	23	Er tr_umt in den Tag hinein	22	100385	keine	0	38	27	6	-0,111111111	0,111111111	3,5	4,8	2,090909091	3,727815594	5,333333333	4,75	miss
103,414	2	21as_414812	24	Er hat Schmetterlinge im Bauch	33	103414	keine	0	87	30	5	2,375	2,375	4,75	6	3,363636364	4,064976457	3,375	7	miss
106,447	2	21as_414812	25	Sie hat lange darunter gelitten	44	106447	keine	0	96	31	5	-2,333333333	2,333333333	5,636363636	5,090909091	2,5	999	999	999	miss
110,481	2	21as_414812	26	Mir ist es das wert	66	110481	keine	0	154	19	5	1,25	1,25	4,272727273	5,9	1,666666667	999	999	999	miss
114,51	2	21as_414812	27	Er spaziert durch die Sonne	66	114510	keine	0	153	27	5	1,166666667	1,166666667	3,909090909	4,727272727	5,333333333	999	999	999	miss
122,537	2	21as_414812	28	Er hat einen an der Birne	11	122537	keine	0	15	25	6	-1,888888889	1,888888889	3	4,222222222	2,6	3,274074074	2,285714286	5	miss
125,579	2	21as_414812	29	### ##### ### #### #######	77	125579	keine	0	201	26	5	9	9	9	9	9	9	9	9	miss
129,612	2	21as_414812	30	Es passt wie die Faust aufs Auge	33	129612	keine	0	68	32	7	1,666666667	1,666666667	3	5,9	2,9	3,753424585	4	7	miss
132,641	2	21as_414812	31	### #### #### #### ###### ######	77	132641	keine	0	254	32	6	9	9	9	9	9	9	9	9	miss
138,674	2	21as_414812	32	Sie hat einen Schnupfen	44	138674	keine	0	112	23	4	-1,75	1,75	3,545454546	4,545454546	5,333333333	999	999	999	miss
142,709	2	21as_414812	33	L_uft ihre Nase?	88	142709	Ja	1779	919	16	3	9	9	9	9	9	9	9	9	correct
148,744	2	21as_414812	34	## #### #### ##### ### ### #####	77	148744	keine	0	248	32	7	9	9	9	9	9	9	9	9	miss
154,772	2	21as_414812	35	#### ###### #########	77	154772	keine	0	233	21	3	9	9	9	9	9	9	9	9	miss
162,807	2	21as_414812	36	### ####### ###### ########### ##	77	162807	keine	0	269	33	5	9	9	9	9	9	9	9	9	miss
165,847	2	21as_414812	37	Sie wird herzlich begrÙ¤t	66	165847	keine	0	171	25	4	1,916666667	1,916666667	5,454545455	5,545454546	4,916666667	999	999	999	miss
168,881	2	21as_414812	38	War der Empfang unfreundlich?	88	168881	Nein	2306	920	29	4	9	9	9	9	9	9	9	9	correct
173,92	2	21as_414812	39	Sie sieht alles schwarz	11	173920	keine	0	2	23	4	-2,222222222	2,222222222	3,875	5,454545455	3,727272727	4,079161024	4,888888889	6,7	miss
179,954	2	21as_414812	40	Sie machte ihn zur Sau	11	179954	keine	0	20	22	5	-1,888888889	1,888888889	5,125	5,5	3,181818182	4,02007152	3,25	7	miss
183,989	2	21as_414812	41	### ######### #### ########### ### ### ######	77	183989	keine	0	260	45	7	9	9	9	9	9	9	9	9	miss
187,018	2	21as_414812	42	Wurden dir soeben kleine Kreise gezeigt?	88	187018	Nein	2633	921	40	6	9	9	9	9	9	9	9	9	correct
192,057	2	21as_414812	43	Er schÙttet ihr sein Herz aus	22	192057	keine	0	51	29	6	0,222222222	0,222222222	4,625	5,909090909	2,888888889	3,851628559	5,444444444	7	miss
196,091	2	21as_414812	44	Offenbart er ihr seine GefÙhle?	88	196091	Ja	2496	922	31	5	9	9	9	9	9	9	9	9	correct
204,125	2	21as_414812	45	Er schreibt seine Gedanken auf	55	204125	keine	0	137	30	5	0,166666667	0,166666667	3,6	4,454545455	4,5	999	999	999	miss
207,159	2	21as_414812	46	#### ###### ####### #####	77	207159	keine	0	191	25	4	9	9	9	9	9	9	9	9	miss
211,193	2	21as_414812	47	Sie lernte es mÙhelos	66	211193	keine	0	156	21	4	1,333333333	1,333333333	4,363636364	3,909090909	3,25	999	999	999	miss
215,222	2	21as_414812	48	Er ist krank geworden	44	215222	keine	0	93	21	4	-2,583333333	2,583333333	4,272727273	4,909090909	4,166666667	999	999	999	miss
218,251	2	21as_414812	49	Sie plant eine Zugfahrt	55	218251	keine	0	148	23	4	0,666666667	0,666666667	2,8	3,909090909	4,083333333	999	999	999	miss
226,285	2	21as_414812	50	Sie bespricht die Angelegenheit mit ihren Kollegen	55	226285	keine	0	126	50	7	0	0	3,181818182	5,181818182	5,363636364	999	999	999	miss
230,324	2	21as_414812	51	### ##### #### ##### ####	77	230324	keine	0	243	25	5	9	9	9	9	9	9	9	9	miss
234,353	2	21as_414812	52	Sie schaut ihn liebevoll an	66	234353	keine	0	175	27	5	2	2	5,272727273	5,363636364	5,75	999	999	999	miss
242,381	2	21as_414812	53	## ###### ###############	77	242381	keine	0	262	25	3	9	9	9	9	9	9	9	9	miss
245,422	2	21as_414812	54	Sie ist stur wie ein Bock	11	245422	keine	0	22	25	6	-1,777777778	1,777777778	3,375	5,1	2,4	3,724225263	5,375	7	miss
252,456	2	21as_414812	55	Sie ist schlechter Stimmung	44	252456	keine	0	113	27	4	-1,583333333	1,583333333	5	4,545454546	2,916666667	999	999	999	miss
255,485	2	21as_414812	56	Er bereitet sich darauf vor	55	255485	keine	0	144	27	5	0,416666667	0,416666667	2,9	5,545454546	2,833333333	999	999	999	miss
259,519	2	21as_414812	57	Sie hat Geld ohne Ende	33	259519	keine	0	64	22	5	1,444444444	1,444444444	3,5	4,6	2	3,769601367	5,875	7	miss
263,547	2	21as_414812	58	### #### ##### ##### #####	77	263547	keine	0	258	26	5	9	9	9	9	9	9	9	9	miss
266,576	2	21as_414812	59	Er schweigt wie ein Grab	22	266576	keine	0	47	24	5	0,111111111	0,111111111	3,75	5,454545455	4	4,004517337	5,888888889	6,5	miss
269,61	2	21as_414812	60	### #### ## ### #####	77	269610	keine	0	202	21	5	9	9	9	9	9	9	9	9	miss
274,643	2	21as_414812	61	Er ist wÙtend auf sie	44	274643	keine	0	103	21	5	-2	2	5,727272727	5,272727273	3,583333333	999	999	999	miss
277,684	2	21as_414812	62	Sie steckt bis Ùber die Ohren in Schulden	11	277684	keine	0	14	41	8	-2	2	4	4,6	2,454545455	3,812915363	6,125	7	miss
280,718	2	21as_414812	63	Sie haben sowohl Ûhnliche wie auch unterschiedliche Ansichten	55	280718	keine	0	139	61	8	0,181818182	0,181818182	3,1	4	2,75	999	999	999	miss
284,751	2	21as_414812	64	### ####### #### ##### #### ############	77	284751	keine	0	245	40	6	9	9	9	9	9	9	9	9	miss
289,779	2	21as_414812	65	## ####### ## #########	77	289779	keine	0	218	23	4	9	9	9	9	9	9	9	9	miss
293,819	2	21as_414812	66	## ##### #### ####	77	293819	keine	0	236	18	4	9	9	9	9	9	9	9	9	miss
300,848	2	21as_414812	67	Es hat nichts damit zu tun	55	300848	keine	0	131	26	6	0	0	2,7	5,4	1,666666667	999	999	999	miss
304,877	2	21as_414812	68	Sie redet Klartext	22	304877	keine	0	58	18	3	0,444444444	0,444444444	4,25	6,1	4,818181818	4,1943856	5,666666667	7	miss
307,905	2	21as_414812	69	Es ist eine Augenweide	33	307905	keine	0	76	22	4	1,777777778	1,777777778	3,857142857	5,6	2,625	3,563778739	3,222222222	7	miss
