onset	duration	Experiment - R4CVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,623	2	07LR_4100	1	Sie hat etwas vor	99	1623	keine	0	271	17	4	9	9	9	9	9	9	9	9	miss
4,657	2	07LR_4100	2	Es hat viel damit zu tun	99	4657	keine	0	273	24	6	9	9	9	9	9	9	9	9	miss
7,69	2	07LR_4100	3	Sie fŸhlt sich sorglos	66	7690	keine	0	158	22	4	1,416666667	1,416666667	4,454545455	4,636363636	2,083333333	999	999	999	miss
10,725	2	07LR_4100	4	Sie legt nicht jedes Wort auf die Goldwaage	22	10725	keine	0	41	43	8	-0,111111111	0,111111111	3,5	5,3	2,1	3,691932371	5,428571429	6,25	miss
13,758	2	07LR_4100	5	Er fŸhlt sich entspannt und locker	66	13758	keine	0	162	34	6	1,583333333	1,583333333	4,090909091	4,818181818	3,416666667	999	999	999	miss
18,792	2	07LR_4100	6	Sie verbrachten ein entspanntes Wochenende	66	18792	keine	0	172	42	5	1,916666667	1,916666667	4,909090909	5,636363636	3,333333333	999	999	999	miss
24,832	2	07LR_4100	7	### ### #### ### ###### ## ####	77	24832	keine	0	199	31	7	9	9	9	9	9	9	9	9	miss
28,866	2	07LR_4100	8	### ####### ##### #######	77	28866	keine	0	234	25	4	9	9	9	9	9	9	9	9	miss
32,895	2	07LR_4100	9	### ### ## ### ##### ###### #####	77	32895	keine	0	224	33	7	9	9	9	9	9	9	9	9	miss
37,924	2	07LR_4100	10	Sie veranstalten eine Party fŸr ihn	66	37924	keine	0	159	35	6	1,5	1,5	4,181818182	4,545454546	4,833333333	999	999	999	miss
41,963	2	07LR_4100	11	Sie schaut ihn liebevoll an	66	41963	keine	0	175	27	5	2	2	5,272727273	5,363636364	5,75	999	999	999	miss
45,992	2	07LR_4100	12	Er redete mit Engelszungen	33	45992	keine	0	61	26	4	1,125	1,125	3,625	3,6	4,090909091	3,771969697	4,625	4,75	miss
49,021	2	07LR_4100	13	Sprach er sehr eindringlich und betšrend?	88	49021	Nein	1595	901	41	6	9	9	9	9	9	9	9	9	incorrect
