onset	duration	Experiment - R6CVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,628	2	07LR_4100	1	Er mag keine Suppe	99	1628	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
4,663	2	07LR_4100	2	Sie ist sehr konzentriert	99	4663	keine	0	276	25	4	9	9	9	9	9	9	9	9	miss
7,696	2	07LR_4100	3	Es ist in aller Munde	22	7696	keine	0	55	21	5	0,333333333	0,333333333	3,25	5,4	2,888888889	3,696579703	4,75	7	miss
10,73	2	07LR_4100	4	Sie hŠlt ihre Zunge im Zaum	22	10730	keine	0	48	27	6	0,111111111	0,111111111	2,75	4,7	3,454545455	3,802867848	5,125	6,25	miss
17,748	2	07LR_4100	5	### #### ### ##### ######## ##	77	17748	keine	0	253	30	6	9	9	9	9	9	9	9	9	miss
20,777	2	07LR_4100	6	### ### #### ### #####	77	20777	keine	0	214	22	5	9	9	9	9	9	9	9	9	miss
24,811	2	07LR_4100	7	Wurde dir soeben ein Satz prŠsentiert?	88	24811	Nein	1350	917	38	6	9	9	9	9	9	9	9	9	correct
30,844	2	07LR_4100	8	Er spitzte die Ohren	22	30844	keine	0	59	20	4	0,444444444	0,444444444	3,625	5,5	5,181818182	4,096573349	4	7	miss
33,873	2	07LR_4100	9	Ihm ist Ÿbel geworden	44	33873	keine	0	104	21	4	-1,916666667	1,916666667	4,727272727	4,636363636	4,75	999	999	999	miss
38,907	2	07LR_4100	10	Er merkt wie sich die Sachen entwickeln	55	38907	keine	0	147	39	7	0,583333333	0,583333333	3,7	4,636363636	2,5	999	999	999	miss
41,947	2	07LR_4100	11	## #### ##### ##########	77	41947	keine	0	221	24	4	9	9	9	9	9	9	9	9	miss
44,98	2	07LR_4100	12	Sie holt sich den Tod	11	44980	keine	0	11	21	5	-2,111111111	2,111111111	4	5,545454546	2,545454546	3,908683056	5,142857143	7	miss
48,015	2	07LR_4100	13	## ### ###### ######	77	48015	keine	0	208	20	4	9	9	9	9	9	9	9	9	miss
54,049	2	07LR_4100	14	Er hat es faustdick hinter den Ohren	22	54049	keine	0	40	36	7	-0,111111111	0,111111111	3,428571429	5,454545455	2	3,673057713	2,777777778	7	miss
57,083	2	07LR_4100	15	Es ist nicht so schwierig	55	57083	keine	0	145	25	5	0,5	0,5	3,727272727	4,727272727	2,083333333	999	999	999	miss
61,117	2	07LR_4100	16	Es war ein ganz normaler Tag	55	61117	keine	0	125	28	6	-0,083333333	0,083333333	2,9	5,4	1,75	999	999	999	miss
64,145	2	07LR_4100	17	Sie Šrgert sich Ÿber ihren Vorgesetzten	44	64145	keine	0	109	39	6	-1,75	1,75	5	4	4,416666667	999	999	999	miss
67,179	2	07LR_4100	18	Sie ist schlechter Stimmung	44	67179	keine	0	113	27	4	-1,583333333	1,583333333	5	4,545454546	2,916666667	999	999	999	miss
70,213	2	07LR_4100	19	Er folgt der Stimme seines Herzens	33	70213	keine	0	81	34	6	2	2	4,142857143	5,2	2,818181818	3,821729672	5,111111111	7	miss
76,247	2	07LR_4100	20	Er ist daran verzweifelt	44	76247	keine	0	91	24	4	-2,666666667	2,666666667	5,545454546	5,636363636	1,916666667	999	999	999	miss
