onset	duration	Experiment - R3BVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,624	2	18MT_4143	1	Sie ist sehr konzentriert	99	1624	keine	0	276	25	4	9	9	9	9	9	9	9	9	miss
4,658	2	18MT_4143	2	Es hat viel damit zu tun	99	4658	keine	0	273	24	6	9	9	9	9	9	9	9	9	miss
7,692	2	18MT_4143	3	Sie macht sich Sorgen um ihre Zukunft	44	7692	keine	0	101	37	7	-2,083333333	2,083333333	5,454545455	5,363636364	2,75	999	999	999	miss
12,725	2	18MT_4143	4	## ##### ## #### ### #####	77	12725	keine	0	228	26	6	9	9	9	9	9	9	9	9	miss
18,765	2	18MT_4143	5	Das ist eine traurige Geschichte	44	18765	keine	0	108	32	5	-1,833333333	1,833333333	5,181818182	4,727272727	2,5	999	999	999	miss
24,8	2	18MT_4143	6	Er folgt der Stimme seines Herzens	33	24800	keine	0	81	34	6	2	2	4,142857143	5,2	2,818181818	3,821729672	5,111111111	7	miss
29,834	2	18MT_4143	7	Er genie§t die Gesellschaft	66	29834	keine	0	176	27	4	2	2	5	5,181818182	3,333333333	999	999	999	miss
32,874	2	18MT_4143	8	Er benimmt sich wie ein Elefant im Porzellanladen	11	32874	keine	0	28	49	8	-1,666666667	1,666666667	4,125	5,4	3,363636364	4,014075192	5,714285714	7	miss
35,908	2	18MT_4143	9	Er kann das nicht mehr leiden	44	35908	keine	0	115	29	6	-1,25	1,25	4,6	4,454545455	2,416666667	999	999	999	miss
38,941	2	18MT_4143	10	Er feuerte ihn	11	38941	keine	0	10	14	3	-2,111111111	2,111111111	4,875	6,636363636	3,555555556	4,003443973	2,75	5,8	miss
41,975	2	18MT_4143	11	Wurde ihm gekŸndigt?	88	41975	Ja	3127	909	20	3	9	9	9	9	9	9	9	9	correct
48,015	2	18MT_4143	12	Sie lag erschšpft im Bett	44	48015	keine	0	119	25	5	-0,833333333	0,833333333	4,636363636	5,454545455	5	999	999	999	miss
51,044	2	18MT_4143	13	### ######### #### ########### ### ### ######	77	51044	keine	0	260	45	7	9	9	9	9	9	9	9	9	miss
58,077	2	18MT_4143	14	Sie genie§t ihre Freizeit	66	58077	keine	0	164	25	4	1,666666667	1,666666667	5,090909091	5,909090909	2,916666667	999	999	999	miss
63,107	2	18MT_4143	15	Er ist total zufrieden mit sich	66	63107	keine	0	179	31	6	2,583333333	2,583333333	5,545454546	4,818181818	2,833333333	999	999	999	miss
67,146	2	18MT_4143	16	Er denkt jetzt daran	55	67146	keine	0	127	20	4	0	0	2,9	5,3	2,333333333	999	999	999	miss
73,175	2	18MT_4143	17	Sie wird dafŸr hart bestraft	44	73175	keine	0	94	28	5	-2,5	2,5	5,727272727	3,545454546	3,583333333	999	999	999	miss
76,208	2	18MT_4143	18	Sie machte ihn zur Sau	11	76208	keine	0	20	22	5	-1,888888889	1,888888889	5,125	5,5	3,181818182	4,02007152	3,25	7	miss
79,243	2	18MT_4143	19	Er plaudert aus dem NŠhkŠstchen	22	79243	keine	0	35	31	5	-0,222222222	0,222222222	2,875	4,818181818	3,909090909	4,004474986	2,5	7	miss
84,277	2	18MT_4143	20	### #### #### #### ###### ######	77	84277	keine	0	254	32	6	9	9	9	9	9	9	9	9	miss
91,317	2	18MT_4143	21	## ### ### ### ### ### ####### ##	77	91317	keine	0	217	33	8	9	9	9	9	9	9	9	9	miss
94,346	2	18MT_4143	22	Sie fŸhlt sich gesund und aktiv	66	94346	keine	0	170	31	6	1,916666667	1,916666667	4,818181818	4,363636364	4,416666667	999	999	999	miss
98,38	2	18MT_4143	23	Er lŠsst sich deswegen keine grauen Haare wachsen	22	98380	keine	0	54	49	8	0,333333333	0,333333333	2,5	3,8	3,636363636	3,711672241	3,571428571	6,8	miss
101,408	2	18MT_4143	24	Er hat einen guten Draht zu ihm	33	101408	keine	0	79	31	7	2	2	3,5	6,272727273	2	3,794818339	5	7	miss
104,442	2	18MT_4143	25	Es wurde heute aufgerŠumt	55	104442	keine	0	143	25	4	0,333333333	0,333333333	2,909090909	3,818181818	4,833333333	999	999	999	miss
