onset	duration	Experiment - R6CVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,633	2	11KW_412212	1	Er mag keine Suppe	99	1633	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
4,668	2	11KW_412212	2	Sie ist sehr konzentriert	99	4668	keine	0	276	25	4	9	9	9	9	9	9	9	9	miss
7,701	2	11KW_412212	3	Es ist in aller Munde	22	7701	keine	0	55	21	5	0,333333333	0,333333333	3,25	5,4	2,888888889	3,696579703	4,75	7	miss
10,735	2	11KW_412212	4	Sie hŠlt ihre Zunge im Zaum	22	10735	keine	0	48	27	6	0,111111111	0,111111111	2,75	4,7	3,454545455	3,802867848	5,125	6,25	miss
17,769	2	11KW_412212	5	### #### ### ##### ######## ##	77	17769	keine	0	253	30	6	9	9	9	9	9	9	9	9	miss
20,798	2	11KW_412212	6	### ### #### ### #####	77	20798	keine	0	214	22	5	9	9	9	9	9	9	9	9	miss
24,832	2	11KW_412212	7	Wurde dir soeben ein Satz prŠsentiert?	88	24832	Nein	2705	917	38	6	9	9	9	9	9	9	9	9	correct
30,865	2	11KW_412212	8	Er spitzte die Ohren	22	30865	keine	0	59	20	4	0,444444444	0,444444444	3,625	5,5	5,181818182	4,096573349	4	7	miss
33,895	2	11KW_412212	9	Ihm ist Ÿbel geworden	44	33895	keine	0	104	21	4	-1,916666667	1,916666667	4,727272727	4,636363636	4,75	999	999	999	miss
38,928	2	11KW_412212	10	Er merkt wie sich die Sachen entwickeln	55	38928	keine	0	147	39	7	0,583333333	0,583333333	3,7	4,636363636	2,5	999	999	999	miss
41,968	2	11KW_412212	11	## #### ##### ##########	77	41968	keine	0	221	24	4	9	9	9	9	9	9	9	9	miss
45,001	2	11KW_412212	12	Sie holt sich den Tod	11	45001	keine	0	11	21	5	-2,111111111	2,111111111	4	5,545454546	2,545454546	3,908683056	5,142857143	7	miss
48,036	2	11KW_412212	13	## ### ###### ######	77	48036	keine	0	208	20	4	9	9	9	9	9	9	9	9	miss
54,07	2	11KW_412212	14	Er hat es faustdick hinter den Ohren	22	54070	keine	0	40	36	7	-0,111111111	0,111111111	3,428571429	5,454545455	2	3,673057713	2,777777778	7	miss
57,104	2	11KW_412212	15	Es ist nicht so schwierig	55	57104	keine	0	145	25	5	0,5	0,5	3,727272727	4,727272727	2,083333333	999	999	999	miss
61,138	2	11KW_412212	16	Es war ein ganz normaler Tag	55	61138	keine	0	125	28	6	-0,083333333	0,083333333	2,9	5,4	1,75	999	999	999	miss
64,166	2	11KW_412212	17	Sie Šrgert sich Ÿber ihren Vorgesetzten	44	64166	keine	0	109	39	6	-1,75	1,75	5	4	4,416666667	999	999	999	miss
67,201	2	11KW_412212	18	Sie ist schlechter Stimmung	44	67201	keine	0	113	27	4	-1,583333333	1,583333333	5	4,545454546	2,916666667	999	999	999	miss
70,234	2	11KW_412212	19	Er folgt der Stimme seines Herzens	33	70234	keine	0	81	34	6	2	2	4,142857143	5,2	2,818181818	3,821729672	5,111111111	7	miss
76,268	2	11KW_412212	20	Er ist daran verzweifelt	44	76268	keine	0	91	24	4	-2,666666667	2,666666667	5,545454546	5,636363636	1,916666667	999	999	999	miss
83,303	2	11KW_412212	21	Sie reagierte enthusiastisch auf den Vorschlag	66	83303	keine	0	160	46	6	1,5	1,5	5,545454546	3,818181818	3,916666667	999	999	999	miss
90,332	2	11KW_412212	22	Sie lag erschšpft im Bett	44	90332	keine	0	119	25	5	-0,833333333	0,833333333	4,636363636	5,454545455	5	999	999	999	miss
94,36	2	11KW_412212	23	Er prŸgelte ihm die Seele aus dem Leib	11	94360	keine	0	1	38	8	-2,777777778	2,777777778	6	4,2	4,454545455	4,884848485	5,75	7	miss
97,39	2	11KW_412212	24	## ### ### ### ### ### ####### ##	77	97390	keine	0	217	33	8	9	9	9	9	9	9	9	9	miss
100,424	2	11KW_412212	25	Hast du soeben viele Rautezeichen gesehen?	88	100424	keine	0	918	42	6	9	9	9	9	9	9	9	9	miss
107,463	2	11KW_412212	26	Er ist ein anstrengender Mensch	44	107463	keine	0	111	31	5	-1,75	1,75	5	5,454545455	2,75	999	999	999	miss
110,503	2	11KW_412212	27	### ##### ##### ### ### ## ######	77	110503	keine	0	219	33	7	9	9	9	9	9	9	9	9	miss
116,537	2	11KW_412212	28	Er ist Feuer und Flamme	33	116537	keine	0	82	23	5	2,111111111	2,111111111	4,285714286	5,7	3,272727273	3,844404201	3,125	7	miss
123,571	2	11KW_412212	29	Er gewinnt neues Selbstvertrauen	66	123571	keine	0	169	32	4	1,833333333	1,833333333	5,272727273	4,363636364	2,583333333	999	999	999	miss
