onset	duration	Experiment - R5CVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,627	2	11KW_412212	1	Es stšrt keinen gro§en Geist	99	1627	keine	0	274	28	5	9	9	9	9	9	9	9	9	miss
4,661	2	11KW_412212	2	Er bekam sein Fett weg	99	4661	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
7,695	2	11KW_412212	3	Wurde er kritisiert?	88	7695	Ja	2422	909	20	3	9	9	9	9	9	9	9	9	correct
13,735	2	11KW_412212	4	Er hat Schmetterlinge im Bauch	33	13735	keine	0	87	30	5	2,375	2,375	4,75	6	3,363636364	4,064976457	3,375	7	miss
16,763	2	11KW_412212	5	### ### ########## ##########	77	16763	keine	0	257	29	4	9	9	9	9	9	9	9	9	miss
22,797	2	11KW_412212	6	Er grinst Ÿber beide Ohren	33	22797	keine	0	85	26	5	2,142857143	2,142857143	5	5,333333333	4,818181818	5,050505051	6,222222222	7	miss
26,831	2	11KW_412212	7	Ist er sehr froh?	88	26831	Ja	1967	910	17	4	9	9	9	9	9	9	9	9	correct
33,866	2	11KW_412212	8	Es geht um tŠgliche Aufgaben	55	33866	keine	0	129	28	5	0	0	2,818181818	4,545454546	2,333333333	999	999	999	miss
36,906	2	11KW_412212	9	Er geht kaum noch aus dem Haus	44	36906	keine	0	118	30	7	-1	1	4,090909091	5,181818182	4,583333333	999	999	999	miss
39,938	2	11KW_412212	10	Verbringt er viel Zeit in der Natur?	88	39938	Nein	1954	911	36	7	9	9	9	9	9	9	9	9	correct
45,979	2	11KW_412212	11	Sie hat die Weisheit mit Lšffeln gefressen	22	45979	keine	0	36	42	7	-0,222222222	0,222222222	3,5	5,2	3,090909091	3,947541587	4,625	7	miss
49,008	2	11KW_412212	12	Sie schaffen das ganz gut	66	49008	keine	0	151	25	5	1,083333333	1,083333333	4,363636364	5,454545455	2,333333333	999	999	999	miss
56,042	2	11KW_412212	13	## ###### ###############	77	56042	keine	0	262	25	3	9	9	9	9	9	9	9	9	miss
60,071	2	11KW_412212	14	Er leidet sehr unter die Kritik seines Chefs	44	60071	keine	0	100	44	8	-2,083333333	2,083333333	5,727272727	3,636363636	3,833333333	999	999	999	miss
65,099	2	11KW_412212	15	#### ##### ##### ##### ####	77	65099	keine	0	237	27	5	9	9	9	9	9	9	9	9	miss
71,138	2	11KW_412212	16	Sie ist nur noch Haut und Knochen	11	71138	keine	0	12	33	7	-2	2	3,625	5,545454546	4	4,077898397	5,666666667	7	miss
75,173	2	11KW_412212	17	### ####### #### ### ######	77	75173	keine	0	211	27	5	9	9	9	9	9	9	9	9	miss
78,202	2	11KW_412212	18	####### ### ###### ######### ##### ####	77	78202	keine	0	183	39	6	9	9	9	9	9	9	9	9	miss
81,235	2	11KW_412212	19	Sie wird dafŸr hart bestraft	44	81235	keine	0	94	28	5	-2,5	2,5	5,727272727	3,545454546	3,583333333	999	999	999	miss
89,269	2	11KW_412212	20	### ### #### ##### ####	77	89269	keine	0	196	23	5	9	9	9	9	9	9	9	9	miss
97,31	2	11KW_412212	21	## ### ####### #######	77	97310	keine	0	242	22	4	9	9	9	9	9	9	9	9	miss
100,35	2	11KW_412212	22	Er ist bekannt wie ein bunter Hund	22	100350	keine	0	57	34	7	0,444444444	0,444444444	2,75	5,1	2,888888889	3,59094947	3,714285714	4,75	miss
103,384	2	11KW_412212	23	Es wurde heute aufgerŠumt	55	103384	keine	0	143	25	4	0,333333333	0,333333333	2,909090909	3,818181818	4,833333333	999	999	999	miss
106,418	2	11KW_412212	24	## ### ######### #####	77	106418	keine	0	204	22	4	9	9	9	9	9	9	9	9	miss
110,452	2	11KW_412212	25	Sie hat Geld ohne Ende	33	110452	keine	0	64	22	5	1,444444444	1,444444444	3,5	4,6	2	3,769601367	5,875	7	miss
117,479	2	11KW_412212	26	### ####### #### ######## ## ###	77	117479	keine	0	266	32	6	9	9	9	9	9	9	9	9	miss
120,509	2	11KW_412212	27	Sie hat einen Schnupfen	44	120509	keine	0	112	23	4	-1,75	1,75	3,545454546	4,545454546	5,333333333	999	999	999	miss
123,543	2	11KW_412212	28	Sie ist unfŠhig	44	123543	keine	0	106	15	3	-1,833333333	1,833333333	5,272727273	4	2,25	999	999	999	miss
126,577	2	11KW_412212	29	Er schreibt seine Gedanken auf	55	126577	keine	0	137	30	5	0,166666667	0,166666667	3,6	4,454545455	4,5	999	999	999	miss
129,611	2	11KW_412212	30	Er spaziert durch die Sonne	66	129611	keine	0	153	27	5	1,166666667	1,166666667	3,909090909	4,727272727	5,333333333	999	999	999	miss
136,645	2	11KW_412212	31	Er wird freundlich aufgenommen	66	136645	keine	0	167	30	4	1,833333333	1,833333333	4,545454546	4,636363636	3,333333333	999	999	999	miss
140,674	2	11KW_412212	32	Alles lŠuft wie immer	55	140674	keine	0	138	21	4	0,166666667	0,166666667	3,4	5	1,75	999	999	999	miss
145,701	2	11KW_412212	33	Er plaudert aus dem NŠhkŠstchen	22	145701	keine	0	35	31	5	-0,222222222	0,222222222	2,875	4,818181818	3,909090909	4,004474986	2,5	7	miss
149,742	2	11KW_412212	34	Plaudert er Geheimnisse aus?	88	149742	Ja	2451	912	28	4	9	9	9	9	9	9	9	9	correct
155,776	2	11KW_412212	35	### #### #### #########	77	155776	keine	0	181	23	4	9	9	9	9	9	9	9	9	miss
158,805	2	11KW_412212	36	#### ##### #### #####	77	158805	keine	0	184	21	4	9	9	9	9	9	9	9	9	miss
163,839	2	11KW_412212	37	Er denkt jetzt daran	55	163839	keine	0	127	20	4	0	0	2,9	5,3	2,333333333	999	999	999	miss
166,878	2	11KW_412212	38	#### ###### #########	77	166878	keine	0	233	21	3	9	9	9	9	9	9	9	9	miss
