onset	duration	Experiment - R5CVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,634	2	23aw_415112	1	Es stšrt keinen gro§en Geist	99	1634	keine	0	274	28	5	9	9	9	9	9	9	9	9	miss
4,668	2	23aw_415112	2	Er bekam sein Fett weg	99	4668	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
7,701	2	23aw_415112	3	Wurde er kritisiert?	88	7701	Ja	1765	909	20	3	9	9	9	9	9	9	9	9	correct
13,741	2	23aw_415112	4	Er hat Schmetterlinge im Bauch	33	13741	keine	0	87	30	5	2,375	2,375	4,75	6	3,363636364	4,064976457	3,375	7	miss
16,77	2	23aw_415112	5	### ### ########## ##########	77	16770	keine	0	257	29	4	9	9	9	9	9	9	9	9	miss
22,804	2	23aw_415112	6	Er grinst Ÿber beide Ohren	33	22804	keine	0	85	26	5	2,142857143	2,142857143	5	5,333333333	4,818181818	5,050505051	6,222222222	7	miss
26,838	2	23aw_415112	7	Ist er sehr froh?	88	26838	Ja	1627	910	17	4	9	9	9	9	9	9	9	9	correct
33,873	2	23aw_415112	8	Es geht um tŠgliche Aufgaben	55	33873	keine	0	129	28	5	0	0	2,818181818	4,545454546	2,333333333	999	999	999	miss
36,912	2	23aw_415112	9	Er geht kaum noch aus dem Haus	44	36912	keine	0	118	30	7	-1	1	4,090909091	5,181818182	4,583333333	999	999	999	miss
39,945	2	23aw_415112	10	Verbringt er viel Zeit in der Natur?	88	39945	Nein	1618	911	36	7	9	9	9	9	9	9	9	9	correct
45,986	2	23aw_415112	11	Sie hat die Weisheit mit Lšffeln gefressen	22	45986	keine	0	36	42	7	-0,222222222	0,222222222	3,5	5,2	3,090909091	3,947541587	4,625	7	miss
49,014	2	23aw_415112	12	Sie schaffen das ganz gut	66	49014	keine	0	151	25	5	1,083333333	1,083333333	4,363636364	5,454545455	2,333333333	999	999	999	miss
56,048	2	23aw_415112	13	## ###### ###############	77	56048	keine	0	262	25	3	9	9	9	9	9	9	9	9	miss
60,078	2	23aw_415112	14	Er leidet sehr unter die Kritik seines Chefs	44	60078	keine	0	100	44	8	-2,083333333	2,083333333	5,727272727	3,636363636	3,833333333	999	999	999	miss
