onset	duration	Experiment - R6DVersuchsperson	Serial_no	Stimulus	Condition	Onset_time	response	response_time	ID_Code	String_length	Word_Number	Valence	Abs_Valence	Arousal	Familiarity	Concreteness	Idiomaticity	Sem_Transp	Knowledge	Accuracy
1,623	2	20MK_41472212	1	Er mag keine Suppe	99	1623	keine	0	272	18	4	9	9	9	9	9	9	9	9	miss
4,657	2	20MK_41472212	2	Er bekam sein Fett weg	99	4657	keine	0	275	22	5	9	9	9	9	9	9	9	9	miss
7,69	2	20MK_41472212	3	Er schweigt wie ein Grab	22	7690	keine	0	47	24	5	0,111111111	0,111111111	3,75	5,454545455	4	4,004517337	5,888888889	6,5	miss
10,724	2	20MK_41472212	4	Er ist Ÿber alle Berge	22	10724	keine	0	32	22	5	-0,222222222	0,222222222	3,25	5,636363636	2,272727273	3,915657047	3,875	7	miss
17,759	2	20MK_41472212	5	##### ##### #### ###### ##### ######## ###### ####	77	17759	keine	0	187	50	8	9	9	9	9	9	9	9	9	miss
20,787	2	20MK_41472212	6	## ##### ##### ##### ######	77	20787	keine	0	188	27	5	9	9	9	9	9	9	9	9	miss
24,821	2	20MK_41472212	7	Wurden dir soeben kleine Kreise gezeigt?	88	24821	Nein	2096	917	40	6	9	9	9	9	9	9	9	9	correct
30,856	2	20MK_41472212	8	Er dreht das Rad der Zeit zurŸck	22	30856	keine	0	44	32	7	0	0	3,625	4	1,909090909	3,570017449	5,111111111	7	miss
33,884	2	20MK_41472212	9	Er leidet sehr unter die Kritik seines Chefs	44	33884	keine	0	100	44	8	-2,083333333	2,083333333	5,727272727	3,636363636	3,833333333	999	999	999	miss
38,918	2	20MK_41472212	10	Es geht um tŠgliche Aufgaben	55	38918	keine	0	129	28	5	0	0	2,818181818	4,545454546	2,333333333	999	999	999	miss
41,958	2	20MK_41472212	11	## ##### ###### ##### #####	77	41958	keine	0	270	28	5	9	9	9	9	9	9	9	9	miss
44,99	2	20MK_41472212	12	Er ist dumm wie Brot	11	44990	keine	0	3	20	5	-2,222222222	2,222222222	4,25	6,1	1,818181818	3,81565291	4,222222222	7	miss
48,025	2	20MK_41472212	13	#### #### ###### ##### ####	77	48025	keine	0	182	27	5	9	9	9	9	9	9	9	9	miss
54,059	2	20MK_41472212	14	Es ist Jacke wie Hose	22	54059	keine	0	46	21	5	0,111111111	0,111111111	5,125	5,4	1,818181818	3,840995304	2,375	6,4	miss
57,093	2	20MK_41472212	15	Sie macht einen Vorschlag	55	57093	keine	0	122	25	4	-0,25	0,25	3,090909091	5,181818182	3,909090909	999	999	999	miss
61,127	2	20MK_41472212	16	Es hat sich nichts bei ihr verŠndert	55	61127	keine	0	121	36	7	-0,272727273	0,272727273	2,9	4,545454546	1,75	999	999	999	miss
64,156	2	20MK_41472212	17	Er ist krank geworden	44	64156	keine	0	93	21	4	-2,583333333	2,583333333	4,272727273	4,909090909	4,166666667	999	999	999	miss
67,19	2	20MK_41472212	18	Er hatte Schwierigkeiten damit	44	67190	keine	0	117	30	4	-1,166666667	1,166666667	4,727272727	5	1,916666667	999	999	999	miss
70,224	2	20MK_41472212	19	Er schwebt auf Wolke sieben	33	70224	keine	0	90	27	5	2,777777778	2,777777778	5	5,2	2,636363636	3,963158968	4,25	7	miss
76,257	2	20MK_41472212	20	Er ist daran verzweifelt	44	76257	keine	0	91	24	4	-2,666666667	2,666666667	5,545454546	5,636363636	1,916666667	999	999	999	miss
83,292	2	20MK_41472212	21	Er spaziert durch die Sonne	66	83292	keine	0	153	27	5	1,166666667	1,166666667	3,909090909	4,727272727	5,333333333	999	999	999	miss
90,321	2	20MK_41472212	22	Er wird den ganzen Tag in der Schule geŠrgert	44	90321	keine	0	92	45	9	-2,583333333	2,583333333	4,818181818	3,727272727	3,916666667	999	999	999	miss
94,349	2	20MK_41472212	23	Sie steckt bis Ÿber die Ohren in Schulden	11	94349	keine	0	14	41	8	-2	2	4	4,6	2,454545455	3,812915363	6,125	7	miss
97,378	2	20MK_41472212	24	### ### #### ### #####	77	97378	keine	0	214	22	5	9	9	9	9	9	9	9	9	miss
100,412	2	20MK_41472212	25	Hast du soeben viele Rautezeichen gesehen?	88	100412	Ja	1995	918	42	6	9	9	9	9	9	9	9	9	correct
107,452	2	20MK_41472212	26	Er leidet unter der Trennung seiner Eltern	44	107452	keine	0	99	42	7	-2,166666667	2,166666667	5,636363636	4,727272727	3,083333333	999	999	999	miss
110,492	2	20MK_41472212	27	## ##### ## #### ### #####	77	110492	keine	0	228	26	6	9	9	9	9	9	9	9	9	miss
116,526	2	20MK_41472212	28	Er lebt wie Gott in Frankreich	33	116526	keine	0	66	30	6	1,555555556	1,555555556	3,875	4,2	2,333333333	3,564309236	3,25	7	miss
123,56	2	20MK_41472212	29	Er ist auf seinen Sohn sehr stolz	66	123560	keine	0	163	33	7	1,666666667	1,666666667	5,545454546	3,727272727	3,416666667	999	999	999	miss
128,589	2	20MK_41472212	30	Er hat es faustdick hinter den Ohren	22	128589	keine	0	40	36	7	-0,111111111	0,111111111	3,428571429	5,454545455	2	3,673057713	2,777777778	7	miss
132,629	2	20MK_41472212	31	Sie schaut ihn liebevoll an	66	132629	keine	0	175	27	5	2	2	5,272727273	5,363636364	5,75	999	999	999	miss
135,658	2	20MK_41472212	32	## ##### ### ### #####	77	135658	keine	0	222	22	5	9	9	9	9	9	9	9	9	miss
138,69	2	20MK_41472212	33	## #### #### #######	77	138690	keine	0	220	20	4	9	9	9	9	9	9	9	9	miss
141,725	2	20MK_41472212	34	Sie schlŠft gut	66	141725	keine	0	168	15	3	1,833333333	1,833333333	4,454545455	5,272727273	4,916666667	999	999	999	miss
144,759	2	20MK_41472212	35	## ##### ### ##### ### #######	77	144759	keine	0	223	30	6	9	9	9	9	9	9	9	9	miss
147,793	2	20MK_41472212	36	Sie lacht Ÿber den Scherz	66	147793	keine	0	161	25	5	1,583333333	1,583333333	4,454545455	4,454545455	5	999	999	999	miss
150,827	2	20MK_41472212	37	Sie ist nur noch Haut und Knochen	11	150827	keine	0	12	33	7	-2	2	3,625	5,545454546	4	4,077898397	5,666666667	7	miss
153,86	2	20MK_41472212	38	#### ### ##### #### ####	77	153860	keine	0	231	24	5	9	9	9	9	9	9	9	9	miss
156,895	2	20MK_41472212	39	### ######### #### ########### ### ### ######	77	156895	keine	0	260	45	7	9	9	9	9	9	9	9	9	miss
161,928	2	20MK_41472212	40	Sie schert sich zum Teufel	11	161928	keine	0	5	26	5	-2,222222222	2,222222222	4,625	4,818181818	2,3	3,823033539	3,888888889	7	miss
169,968	2	20MK_41472212	41	Verschwindet sie fŸr eine lange Zeit? 	88	169968	Ja	2334	919	37	6	9	9	9	9	9	9	9	9	correct
